,동,기간,category,value
461,원효로2동,2015,1인가구,1290.0
462,효창동,2015,1인가구,804.0
463,용문동,2015,1인가구,1098.0
464,이촌1동,2015,1인가구,1227.0
465,이촌2동,2015,1인가구,684.0
466,이태원1동,2015,1인가구,1328.0
467,이태원2동,2015,1인가구,1599.0
468,서빙고동,2015,1인가구,1036.0
469,보광동,2015,1인가구,2882.0
470,청파동,2015,1인가구,4393.0
471,원효로1동,2015,1인가구,1939.0
472,한강로동,2015,1인가구,2377.0
473,한남동,2015,1인가구,3843.0
474,왕십리2동,2015,1인가구,1776.0
475,마장동,2015,1인가구,2997.0
476,사근동,2015,1인가구,4322.0
477,행당1동,2015,1인가구,2015.0
478,행당2동,2015,1인가구,1405.0
479,응봉동,2015,1인가구,864.0
480,금호1가동,2015,1인가구,1091.0
481,금호4가동,2015,1인가구,1337.0
482,성수1가1동,2015,1인가구,1833.0
483,성수1가2동,2015,1인가구,2522.0
484,성수2가1동,2015,1인가구,2645.0
485,성수2가3동,2015,1인가구,1701.0
486,송정동,2015,1인가구,1977.0
487,용답동,2015,1인가구,2699.0
488,왕십리도선동,2015,1인가구,2292.0
489,금호2.3가동,2015,1인가구,1921.0
490,옥수동,2015,1인가구,1862.0
491,화양동,2015,1인가구,11126.0
492,군자동,2015,1인가구,5696.0
493,중곡1동,2015,1인가구,2490.0
494,중곡2동,2015,1인가구,2870.0
495,중곡3동,2015,1인가구,2478.0
496,중곡4동,2015,1인가구,3049.0
497,능동,2015,1인가구,2796.0
498,구의1동,2015,1인가구,4587.0
499,구의2동,2015,1인가구,2474.0
500,구의3동,2015,1인가구,2445.0
501,광장동,2015,1인가구,1411.0
502,자양1동,2015,1인가구,3950.0
503,자양2동,2015,1인가구,2525.0
504,자양3동,2015,1인가구,1755.0
505,자양4동,2015,1인가구,4558.0
506,회기동,2015,1인가구,4030.0
507,휘경1동,2015,1인가구,3395.0
508,휘경2동,2015,1인가구,3616.0
509,청량리동,2015,1인가구,3060.0
510,용신동,2015,1인가구,5803.0
511,제기동,2015,1인가구,4542.0
512,전농1동,2015,1인가구,4986.0
513,전농2동,2015,1인가구,1491.0
514,답십리1동,2015,1인가구,3042.0
515,답십리2동,2015,1인가구,2262.0
516,장안1동,2015,1인가구,3841.0
517,장안2동,2015,1인가구,2668.0
518,이문1동,2015,1인가구,7966.0
519,이문2동,2015,1인가구,2182.0
520,면목2동,2015,1인가구,3369.0
521,면목4동,2015,1인가구,2292.0
522,면목5동,2015,1인가구,1397.0
523,면목7동,2015,1인가구,2839.0
524,상봉1동,2015,1인가구,1748.0
525,상봉2동,2015,1인가구,3707.0
526,중화1동,2015,1인가구,1675.0
527,중화2동,2015,1인가구,4774.0
528,묵1동,2015,1인가구,2549.0
529,묵2동,2015,1인가구,2390.0
530,망우3동,2015,1인가구,2216.0
531,신내1동,2015,1인가구,1610.0
532,신내2동,2015,1인가구,1771.0
