동이름,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-0.237,-31.98,42.945
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-31.324,43.387,-1.495
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-31.324,43.387,-32.005
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-31.324,-1.19,42.945
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,41.132,-1.294,-1.495
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,41.132,-1.294,-32.005
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,41.132,-31.98,42.945
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-24.192,-2.702,32.66,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-24.192,-2.702,-2.723,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-24.192,-2.702,-2.723,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-0.237,-1.294,-1.495
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-0.237,-1.294,-32.005
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-0.237,-31.98,42.945
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-0.237,-31.98,-1.33
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-31.324,43.387,-1.495
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-31.324,43.387,-32.005
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-31.324,-1.19,42.945
신사동,28.109,-23.024,21.662,2.984,0.831,0.379,-31.324,-1.19,-1.33
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,41.132,-1.294,-1.495
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,41.132,-1.294,-32.005
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,41.132,-31.98,42.945
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,41.132,-31.98,-1.33
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,-2.846,43.387,-1.495
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,-2.846,43.387,-32.005
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,-2.846,-1.19,42.945
신사동,28.109,-23.024,21.662,2.984,0.831,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-0.237,-1.294,-1.495
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-0.237,-1.294,-32.005
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-0.237,-31.98,42.945
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-0.237,-31.98,-1.33
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-31.324,43.387,-1.495
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-31.324,43.387,-32.005
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-31.324,-1.19,42.945
신사동,28.109,-23.024,21.662,2.984,-26.063,36.891,-31.324,-1.19,-1.33
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,41.132,-1.294,-1.495
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,41.132,-1.294,-32.005
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,41.132,-31.98,42.945
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,41.132,-31.98,-1.33
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,-2.846,43.387,-1.495
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,-2.846,43.387,-32.005
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,-2.846,-1.19,42.945
신사동,28.109,-23.024,21.662,2.984,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-0.237,-1.294,-1.495
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-0.237,-1.294,-32.005
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-0.237,-31.98,42.945
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-0.237,-31.98,-1.33
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-31.324,43.387,-1.495
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-31.324,43.387,-32.005
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-31.324,-1.19,42.945
신사동,28.109,-23.024,21.662,-21.725,32.66,0.379,-31.324,-1.19,-1.33
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,41.132,-1.294,-1.495
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,41.132,-1.294,-32.005
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,41.132,-31.98,42.945
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,41.132,-31.98,-1.33
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,-2.846,43.387,-1.495
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,-2.846,43.387,-32.005
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,-2.846,-1.19,42.945
신사동,28.109,-23.024,21.662,-21.725,32.66,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-0.237,-1.294,-1.495
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-0.237,-1.294,-32.005
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-0.237,-31.98,42.945
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-0.237,-31.98,-1.33
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-31.324,43.387,-1.495
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-31.324,43.387,-32.005
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-31.324,-1.19,42.945
신사동,28.109,-23.024,21.662,-21.725,-2.723,36.891,-31.324,-1.19,-1.33
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,41.132,-1.294,-1.495
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,41.132,-1.294,-32.005
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,41.132,-31.98,42.945
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,41.132,-31.98,-1.33
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,-2.846,43.387,-1.495
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,-2.846,43.387,-32.005
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,-2.846,-1.19,42.945
신사동,28.109,-23.024,21.662,-21.725,-2.723,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-0.237,-1.294,-1.495
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-0.237,-1.294,-32.005
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-0.237,-31.98,42.945
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-0.237,-31.98,-1.33
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-31.324,43.387,-1.495
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-31.324,43.387,-32.005
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-31.324,-1.19,42.945
신사동,28.109,-23.024,-2.124,28.011,0.831,0.379,-31.324,-1.19,-1.33
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,41.132,-1.294,-1.495
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,41.132,-1.294,-32.005
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,41.132,-31.98,42.945
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,41.132,-31.98,-1.33
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,-2.846,43.387,-1.495
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,-2.846,43.387,-32.005
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,-2.846,-1.19,42.945
신사동,28.109,-23.024,-2.124,28.011,0.831,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-0.237,-1.294,-1.495
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-0.237,-1.294,-32.005
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-0.237,-31.98,42.945
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-0.237,-31.98,-1.33
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-31.324,43.387,-1.495
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-31.324,43.387,-32.005
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-31.324,-1.19,42.945
신사동,28.109,-23.024,-2.124,28.011,-26.063,36.891,-31.324,-1.19,-1.33
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,41.132,-1.294,-1.495
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,41.132,-1.294,-32.005
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,41.132,-31.98,42.945
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,41.132,-31.98,-1.33
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,-2.846,43.387,-1.495
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,-2.846,43.387,-32.005
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,-2.846,-1.19,42.945
신사동,28.109,-23.024,-2.124,28.011,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-0.237,-1.294,-1.495
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-0.237,-1.294,-32.005
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-0.237,-31.98,42.945
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-0.237,-31.98,-1.33
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-31.324,43.387,-1.495
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-31.324,43.387,-32.005
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-31.324,-1.19,42.945
신사동,28.109,-23.024,-2.124,-2.702,32.66,0.379,-31.324,-1.19,-1.33
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,41.132,-1.294,-1.495
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,41.132,-1.294,-32.005
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,41.132,-31.98,42.945
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,41.132,-31.98,-1.33
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,-2.846,43.387,-1.495
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,-2.846,43.387,-32.005
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,-2.846,-1.19,42.945
신사동,28.109,-23.024,-2.124,-2.702,32.66,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-0.237,-1.294,-1.495
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-0.237,-1.294,-32.005
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-0.237,-31.98,42.945
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-0.237,-31.98,-1.33
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-31.324,43.387,-1.495
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-31.324,43.387,-32.005
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-31.324,-1.19,42.945
신사동,28.109,-23.024,-2.124,-2.702,-2.723,36.891,-31.324,-1.19,-1.33
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,41.132,-1.294,-1.495
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,41.132,-1.294,-32.005
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,41.132,-31.98,42.945
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,41.132,-31.98,-1.33
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,-2.846,43.387,-1.495
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,-2.846,43.387,-32.005
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,-2.846,-1.19,42.945
신사동,28.109,-23.024,-2.124,-2.702,-2.723,-3.235,-2.846,-1.19,-1.33
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-0.237,-1.294,-1.495
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-0.237,-1.294,-32.005
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-0.237,-31.98,42.945
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-0.237,-31.98,-1.33
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-31.324,43.387,-1.495
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-31.324,43.387,-32.005
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-31.324,-1.19,42.945
신사동,-0.638,28.136,-5.768,2.984,0.831,0.379,-31.324,-1.19,-1.33
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,41.132,-1.294,-1.495
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,41.132,-1.294,-32.005
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,41.132,-31.98,42.945
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,41.132,-31.98,-1.33
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,-2.846,43.387,-1.495
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,-2.846,43.387,-32.005
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,-2.846,-1.19,42.945
신사동,-0.638,28.136,-5.768,2.984,0.831,-29.044,-2.846,-1.19,-1.33
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-0.237,-1.294,-1.495
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-0.237,-1.294,-32.005
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-0.237,-31.98,42.945
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-0.237,-31.98,-1.33
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-31.324,43.387,-1.495
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-31.324,43.387,-32.005
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-31.324,-1.19,42.945
신사동,-0.638,28.136,-5.768,2.984,-26.063,36.891,-31.324,-1.19,-1.33
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,41.132,-1.294,-1.495
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,41.132,-1.294,-32.005
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,41.132,-31.98,42.945
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,41.132,-31.98,-1.33
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,-2.846,43.387,-1.495
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,-2.846,43.387,-32.005
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,-2.846,-1.19,42.945
신사동,-0.638,28.136,-5.768,2.984,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-0.237,-1.294,-1.495
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-0.237,-1.294,-32.005
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-0.237,-31.98,42.945
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-0.237,-31.98,-1.33
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-31.324,43.387,-1.495
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-31.324,43.387,-32.005
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-31.324,-1.19,42.945
신사동,-0.638,28.136,-5.768,-21.725,32.66,0.379,-31.324,-1.19,-1.33
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,41.132,-1.294,-1.495
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,41.132,-1.294,-32.005
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,41.132,-31.98,42.945
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,41.132,-31.98,-1.33
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,-2.846,43.387,-1.495
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,-2.846,43.387,-32.005
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,-2.846,-1.19,42.945
신사동,-0.638,28.136,-5.768,-21.725,32.66,-29.044,-2.846,-1.19,-1.33
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-0.237,-1.294,-1.495
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-0.237,-1.294,-32.005
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-0.237,-31.98,42.945
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-0.237,-31.98,-1.33
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-31.324,43.387,-1.495
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-31.324,43.387,-32.005
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-31.324,-1.19,42.945
신사동,-0.638,28.136,-5.768,-21.725,-2.723,36.891,-31.324,-1.19,-1.33
신사동,-0.638,28.136,-5.768,-21.725,-2.723,-3.235,41.132,-1.294,-1.495
신사동,-0.638,28.136,-5.768,-21.725,-2.723,-3.235,41.132,-1.294,-32.005
신사동,-0.638,28.136,-5.768,-21.725,-2.723,-3.235,41.132,-31.98,42.945
신사동,-0.638,28.136,-5.768,-21.725,-2.723,-3.235,41.132,-31.98,-1.33
