기간,자치구,동,세대,계,계,계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,인구,남자,여자,인구,남자,여자,인구,남자,여자,세대당인구,65세이상고령자
2011.4/4,관악구,소계,"246,979","546,350","276,675","269,675","526,397","267,145","259,252","19,953","9,530","10,423",2.13,"53,022"
2011.4/4,관악구,보라매동,"11,682","30,321","15,028","15,293","26,883","13,362","13,521","3,438","1,666","1,772",2.3,"2,911"
2011.4/4,관악구,청림동,"6,706","17,532","8,647","8,885","17,235","8,482","8,753",297,165,132,2.57,"1,793"
2011.4/4,관악구,행운동,"15,395","30,402","15,059","15,343","30,047","14,906","15,141",355,153,202,1.95,"2,865"
2011.4/4,관악구,낙성대동,"9,824","18,260","9,404","8,856","17,788","9,169","8,619",472,235,237,1.81,"1,497"
2011.4/4,관악구,중앙동,"7,452","15,244","7,563","7,681","14,865","7,384","7,481",379,179,200,1.99,"1,689"
2011.4/4,관악구,인헌동,"13,085","28,730","14,368","14,362","28,464","14,252","14,212",266,116,150,2.18,"2,671"
2011.4/4,관악구,남현동,"8,087","18,294","8,859","9,435","18,008","8,729","9,279",286,130,156,2.23,"1,741"
2011.4/4,관악구,서원동,"12,419","24,558","12,440","12,118","24,005","12,141","11,864",553,299,254,1.93,"2,225"
2011.4/4,관악구,신원동,"9,474","20,331","10,075","10,256","20,008","9,922","10,086",323,153,170,2.11,"2,287"
2011.4/4,관악구,서림동,"13,328","24,969","13,687","11,282","24,846","13,639","11,207",123,48,75,1.86,"2,306"
2011.4/4,관악구,신사동,"12,211","25,942","13,032","12,910","25,213","12,669","12,544",729,363,366,2.06,"2,328"
2011.4/4,관악구,신림동,"12,738","27,969","13,736","14,233","18,838","9,341","9,497","9,131","4,395","4,736",1.48,"1,459"
2011.4/4,관악구,난향동,"6,783","18,055","9,041","9,014","18,009","9,012","8,997",46,29,17,2.66,"1,771"
2011.4/4,관악구,조원동,"9,105","18,931","9,636","9,295","18,226","9,281","8,945",705,355,350,2,"1,907"
