기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2016.3/4,구로구,개봉1동,"14,068","35,949","17,986","17,963","34,935","17,469","17,466","1,014",517,497,2.48,"5,001"
2016.3/4,구로구,기타,-,1,-,1,-,-,-,1,-,1,-,-
2016.3/4,금천구,소계,"103,876","253,667","129,931","123,736","234,392","119,414","114,978","19,275","10,517","8,758",2.26,"31,983"
2016.3/4,금천구,가산동,"11,838","23,698","13,327","10,371","19,692","10,968","8,724","4,006","2,359","1,647",1.66,"2,179"
2016.3/4,금천구,독산1동,"14,934","33,892","17,925","15,967","31,359","16,508","14,851","2,533","1,417","1,116",2.1,"4,072"
2016.3/4,금천구,독산2동,"9,485","23,263","11,837","11,426","21,462","10,885","10,577","1,801",952,849,2.26,"2,757"
2016.3/4,금천구,독산3동,"12,187","31,462","16,125","15,337","26,495","13,389","13,106","4,967","2,736","2,231",2.17,"3,721"
2016.3/4,금천구,독산4동,"7,807","19,453","9,863","9,590","17,570","8,862","8,708","1,883","1,001",882,2.25,"2,298"
2016.3/4,금천구,시흥1동,"15,328","38,470","19,370","19,100","36,088","18,135","17,953","2,382","1,235","1,147",2.35,"4,905"
2016.3/4,금천구,시흥2동,"8,631","24,348","11,922","12,426","24,223","11,860","12,363",125,62,63,2.81,"3,292"
2016.3/4,금천구,시흥3동,"4,829","12,499","6,271","6,228","12,349","6,209","6,140",150,62,88,2.56,"1,930"
2016.3/4,금천구,시흥4동,"9,175","23,600","11,798","11,802","22,827","11,414","11,413",773,384,389,2.49,"3,152"
2016.3/4,금천구,시흥5동,"9,662","22,982","11,493","11,489","22,327","11,184","11,143",655,309,346,2.31,"3,677"
2016.3/4,영등포구,소계,"166,661","410,757","206,795","203,962","373,953","187,010","186,943","36,804","19,785","17,019",2.24,"51,978"
2016.3/4,영등포구,여의동,"12,590","34,157","16,215","17,942","33,742","15,999","17,743",415,216,199,2.68,"5,275"
2016.3/4,영등포구,당산1동,"9,724","21,352","10,589","10,763","20,787","10,304","10,483",565,285,280,2.14,"2,820"
2016.3/4,영등포구,당산2동,"16,588","36,617","17,383","19,234","36,192","17,191","19,001",425,192,233,2.18,"3,873"
