,기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
118,2010,중랑구,면목3.8동,10724.0,2729.0,2629.0,2413.0,2298.0,486.0,169.0
119,2010,중랑구,망우본동,11428.0,2632.0,2718.0,2641.0,2513.0,710.0,214.0
121,2010,성북구,돈암1동,5396.0,906.0,1331.0,1367.0,1332.0,349.0,111.0
122,2010,성북구,돈암2동,7281.0,824.0,1484.0,1955.0,2214.0,608.0,196.0
123,2010,성북구,안암동,8267.0,4295.0,1609.0,1011.0,1015.0,264.0,73.0
124,2010,성북구,보문동,5751.0,1820.0,1366.0,1101.0,1048.0,320.0,96.0
125,2010,성북구,정릉1동,6563.0,1077.0,1421.0,1656.0,1765.0,470.0,174.0
126,2010,성북구,정릉2동,7735.0,1210.0,1726.0,2026.0,2051.0,521.0,201.0
127,2010,성북구,정릉3동,6559.0,2154.0,1462.0,1238.0,1189.0,372.0,144.0
128,2010,성북구,정릉4동,8836.0,1336.0,2075.0,2307.0,2322.0,605.0,191.0
129,2010,성북구,길음1동,10679.0,1186.0,2312.0,2942.0,3220.0,784.0,235.0
130,2010,성북구,길음2동,6694.0,1516.0,1631.0,1581.0,1437.0,390.0,139.0
131,2010,성북구,월곡1동,9279.0,1528.0,2073.0,2323.0,2554.0,607.0,194.0
132,2010,성북구,월곡2동,7661.0,1992.0,1691.0,1720.0,1661.0,471.0,126.0
133,2010,성북구,장위1동,8464.0,1558.0,1931.0,2083.0,2098.0,572.0,222.0
134,2010,성북구,장위2동,7573.0,1555.0,1735.0,1852.0,1780.0,497.0,154.0
135,2010,성북구,장위3동,6391.0,1363.0,1449.0,1506.0,1487.0,439.0,147.0
136,2010,성북구,성북동,6326.0,1803.0,1573.0,1204.0,1211.0,408.0,127.0
137,2010,성북구,삼선동,9564.0,2897.0,2069.0,1987.0,1913.0,525.0,173.0
138,2010,성북구,동선동,6556.0,2894.0,1441.0,977.0,898.0,245.0,101.0
139,2010,성북구,종암동,14284.0,3695.0,2934.0,3149.0,3365.0,877.0,264.0
140,2010,성북구,석관동,13037.0,3043.0,3032.0,3113.0,2857.0,789.0,203.0
142,2010,강북구,번1동,8316.0,2896.0,1981.0,1583.0,1372.0,362.0,122.0
143,2010,강북구,번2동,7021.0,1318.0,1837.0,1757.0,1592.0,414.0,103.0
144,2010,강북구,번3동,7292.0,1215.0,1830.0,1914.0,1715.0,463.0,155.0
