기간,자치구,동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2014.4/4,동작구,대방동,"15,538","40,180","19,463","20,717","39,769","19,258","20,511",411,205,206,2.56,"4,387"
2014.4/4,동작구,신대방1동,"9,806","28,603","14,134","14,469","25,391","12,471","12,920","3,212","1,663","1,549",2.59,"2,943"
2014.4/4,동작구,신대방2동,"8,555","21,414","10,512","10,902","21,101","10,367","10,734",313,145,168,2.47,"2,492"
2014.4/4,동작구,흑석동,"15,876","38,487","18,721","19,766","36,667","18,047","18,620","1,820",674,"1,146",2.31,"5,404"
2014.4/4,동작구,노량진1동,"14,321","33,889","16,935","16,954","33,498","16,745","16,753",391,190,201,2.34,"4,552"
2014.4/4,동작구,사당2동,"12,530","31,247","15,222","16,025","30,583","14,920","15,663",664,302,362,2.44,"4,118"
2014.4/4,관악구,소계,"248,180","531,960","268,683","263,277","513,186","259,631","253,555","18,774","9,052","9,722",2.07,"62,577"
2014.4/4,관악구,보라매동,"11,480","27,127","13,466","13,661","25,893","12,859","13,034","1,234",607,627,2.26,"3,451"
2014.4/4,관악구,청림동,"6,547","16,828","8,281","8,547","16,670","8,206","8,464",158,75,83,2.55,"2,146"
2014.4/4,관악구,행운동,"15,573","30,317","14,957","15,360","29,716","14,693","15,023",601,264,337,1.91,"3,444"
2014.4/4,관악구,낙성대동,"10,072","18,732","9,536","9,196","17,590","8,959","8,631","1,142",577,565,1.75,"1,764"
2014.4/4,관악구,중앙동,"7,704","15,211","7,408","7,803","14,634","7,155","7,479",577,253,324,1.9,"2,014"
2014.4/4,관악구,인헌동,"13,348","28,240","14,035","14,205","27,864","13,859","14,005",376,176,200,2.09,"3,152"
2014.4/4,관악구,남현동,"8,346","18,315","8,878","9,437","18,046","8,762","9,284",269,116,153,2.16,"2,042"
2014.4/4,관악구,서원동,"12,452","24,057","12,277","11,780","23,291","11,906","11,385",766,371,395,1.87,"2,626"
2014.4/4,관악구,신원동,"9,317","20,267","10,033","10,234","18,956","9,407","9,549","1,311",626,685,2.03,"2,681"
2014.4/4,관악구,서림동,"13,450","25,137","13,719","11,418","24,609","13,507","11,102",528,212,316,1.83,"2,731"
2014.4/4,관악구,신사동,"12,071","27,040","13,577","13,463","24,046","12,032","12,014","2,994","1,545","1,449",1.99,"2,798"
2014.4/4,관악구,신림동,"13,609","20,780","10,392","10,388","19,265","9,697","9,568","1,515",695,820,1.42,"1,644"
