역명,요일,구분,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
거여,Tuesday,하차,347956.0,341910.0,390170.0,406398.0,410034.0,427914.0,426193.0,410093.0,388111.0,371385.0,350068.5
거여,Wednesday,하차,344374.0,345855.0,383515.0,414501.0,405957.0,410608.0,428186.0,410821.0,385995.0,377260.0,351961.5
건대입구,Friday,하차,3371812.0,3570918.0,3889059.0,4011992.0,4076860.0,4002065.0,4080047.0,4079923.0,4148698.0,3961995.0,3466083.0
건대입구,Monday,하차,3100115.0,3235476.0,3406087.0,3486691.0,3536148.0,3523906.0,3546232.0,3526278.0,3459547.0,3399632.0,3405391.5
건대입구,Saturday,하차,3208648.0,3292204.0,3548674.0,3838182.0,3733256.0,3718624.0,3839124.0,3821807.0,3895960.0,3752132.0,3446118.0
건대입구,Sunday,하차,2196776.0,2286225.0,2472128.0,2635296.0,2657798.0,2625536.0,2730722.0,2700211.0,2699901.0,2733163.0,2591269.5
건대입구,Thursday,하차,3203170.0,3440164.0,3557859.0,3628175.0,3671921.0,3634093.0,3700495.0,3779511.0,3678786.0,3600036.0,3258148.5
건대입구,Tuesday,하차,3210164.0,3261152.0,3483131.0,3584162.0,3584272.0,3699509.0,3662862.0,3596480.0,3559590.0,3488208.0,3235195.5
건대입구,Wednesday,하차,3223909.0,3383332.0,3477361.0,3618391.0,3601147.0,3632339.0,3777500.0,3640556.0,3612835.0,3515327.0,3320791.5
경복궁,Friday,하차,1275828.0,1340263.0,1368162.0,1400995.0,1468691.0,1466042.0,1542155.0,1541493.0,1587981.0,1533579.0,1320540.0
경복궁,Monday,하차,1241311.0,1315466.0,1300810.0,1304341.0,1361877.0,1367433.0,1424402.0,1397620.0,1397670.0,1355650.0,1344838.5
경복궁,Saturday,하차,876124.0,939144.0,966663.0,1026920.0,1063568.0,1109920.0,1240841.0,1268297.0,1511096.0,1333428.0,1127308.5
경복궁,Sunday,하차,606041.0,626339.0,674577.0,698400.0,760277.0,785145.0,897990.0,885956.0,888561.0,901576.0,827047.5
경복궁,Thursday,하차,1275420.0,1357944.0,1364286.0,1373904.0,1430627.0,1441060.0,1485587.0,1531362.0,1544220.0,1505895.0,1332532.5
경복궁,Tuesday,하차,1278050.0,1280313.0,1314463.0,1307107.0,1312121.0,1381440.0,1427679.0,1411086.0,1396605.0,1342394.0,1240974.0
경복궁,Wednesday,하차,1291566.0,1353807.0,1337878.0,1376954.0,1379022.0,1410626.0,1523045.0,1499635.0,1518392.0,1509432.0,1352334.0
고덕,Friday,하차,448539.0,466099.0,497697.0,520345.0,532882.0,506574.0,512382.0,498452.0,508381.0,553709.0,488782.5
고덕,Monday,하차,451980.0,469735.0,500127.0,503627.0,525062.0,520543.0,516293.0,497773.0,478305.0,534032.0,546036.0
고덕,Saturday,하차,336891.0,333838.0,353957.0,378246.0,368430.0,364665.0,377258.0,358140.0,360141.0,378590.0,335464.5
고덕,Sunday,하차,247111.0,232488.0,248573.0,258143.0,260358.0,254073.0,254146.0,236247.0,227431.0,258051.0,243249.0
고덕,Thursday,하차,447333.0,478569.0,499200.0,510370.0,523888.0,506441.0,511175.0,508575.0,495017.0,558218.0,509451.0
고덕,Tuesday,하차,471199.0,468112.0,502697.0,511036.0,517010.0,532648.0,525101.0,506009.0,496949.0,546025.0,511002.0
고덕,Wednesday,하차,458427.0,481745.0,492640.0,509109.0,512135.0,512816.0,530020.0,507759.0,491180.0,548210.0,509398.5
고려대,Friday,하차,556366.0,555816.0,581999.0,586909.0,596389.0,568110.0,561540.0,551902.0,559601.0,532081.0,461025.0
고려대,Monday,하차,582290.0,584024.0,594410.0,583686.0,589949.0,604793.0,582516.0,575436.0,562029.0,536559.0,529218.0
고려대,Saturday,하차,436187.0,447591.0,463724.0,463271.0,449605.0,445362.0,434698.0,430745.0,425969.0,398292.0,346701.0
고려대,Sunday,하차,305007.0,302886.0,314745.0,316794.0,319864.0,313271.0,313869.0,297793.0,285410.0,286813.0,263506.5
고려대,Thursday,하차,574091.0,591387.0,603095.0,593956.0,605860.0,588796.0,578652.0,588005.0,579230.0,557682.0,494193.0
고려대,Tuesday,하차,589184.0,575618.0,603844.0,593174.0,587443.0,612190.0,599650.0,580375.0,571726.0,544461.0,493495.5
고려대,Wednesday,하차,583828.0,595350.0,595986.0,607623.0,580967.0,594886.0,600487.0,596986.0,575021.0,559361.0,504019.5
고속터미널,Friday,하차,4645979.0,4605129.0,4749382.0,4601364.0,4867389.0,4933904.0,4939104.0,5775548.0,6027110.0,5829478.0,5131689.0
고속터미널,Monday,하차,3697018.0,3574244.0,3637341.0,3588614.0,3693854.0,3808261.0,3817894.0,4506913.0,4586701.0,4587480.0,4677756.0
고속터미널,Saturday,하차,4823364.0,4674979.0,4786467.0,4939819.0,4992127.0,5222415.0,5319698.0,6094310.0,6507126.0,6279819.0,5659122.0
고속터미널,Sunday,하차,3631613.0,3562023.0,3629093.0,3621259.0,3749979.0,3954014.0,4078836.0,4662771.0,4879247.0,4875758.0,4590498.0
고속터미널,Thursday,하차,3788728.0,3877299.0,3750208.0,3610807.0,3740315.0,3993897.0,4032182.0,4773535.0,4759207.0,4814365.0,4361974.5
고속터미널,Tuesday,하차,3847744.0,3534635.0,3652518.0,3643713.0,3627251.0,3978303.0,3888844.0,4549135.0,4627675.0,4579169.0,4322197.5
고속터미널,Wednesday,하차,3787431.0,3604206.0,3547227.0,3573362.0,3618147.0,3891633.0,4033975.0,4476721.0,4638588.0,4577794.0,4397308.5
공덕,Friday,하차,1553420.0,1653685.0,1704086.0,1842165.0,2000667.0,1944599.0,1960089.0,2110391.0,2187532.0,2250482.0,2071146.0
공덕,Monday,하차,1535972.0,1628750.0,1664637.0,1732126.0,1891903.0,1959482.0,1956881.0,2101821.0,2029616.0,2084327.0,2204080.5
공덕,Saturday,하차,868873.0,894584.0,909751.0,987594.0,1033741.0,1087667.0,1106050.0,1221687.0,1307182.0,1319175.0,1206055.5
공덕,Sunday,하차,568488.0,595872.0,578032.0,611759.0,667799.0,683972.0,706693.0,790627.0,804663.0,854155.0,829638.0
공덕,Thursday,하차,1555484.0,1671957.0,1695935.0,1783696.0,1943981.0,1909194.0,1929276.0,2162079.0,2116794.0,2224435.0,2092978.5
공덕,Tuesday,하차,1613659.0,1657891.0,1736618.0,1791068.0,1903298.0,2025346.0,2002080.0,2127927.0,2106068.0,2147645.0,2085057.0
공덕,Wednesday,하차,1608964.0,1706905.0,1675808.0,1829674.0,1872575.0,1942312.0,2014220.0,2156335.0,2100059.0,2184679.0,2101933.5
공릉,Friday,하차,758979.0,762622.0,786014.0,798443.0,800014.0,780937.0,772724.0,755910.0,764951.0,750758.0,664842.0
