기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
2010,도봉구,쌍문1동,7285,1500,1626,1770,1740,477,172
2010,도봉구,쌍문2동,7107,1357,1688,1754,1781,399,128
2010,도봉구,쌍문3동,6468,1464,1532,1546,1429,366,131
2010,도봉구,쌍문4동,6713,955,1193,1764,2177,506,118
2010,도봉구,방학1동,10617,2044,2390,2639,2641,700,203
2010,도봉구,방학2동,7877,1529,1871,1894,1857,572,154
2010,도봉구,방학3동,9618,979,1800,2567,3317,736,219
2010,도봉구,창1동,9794,1944,2223,2468,2483,534,142
2010,도봉구,창2동,10355,1866,2359,2643,2573,687,227
2010,도봉구,창3동,5633,1281,1285,1336,1302,329,100
2010,도봉구,창4동,10012,1628,2052,2484,3026,660,162
2010,도봉구,창5동,8970,1273,1888,2406,2660,579,164
2010,도봉구,도봉1동,8304,1782,2211,1990,1690,475,156
2010,도봉구,도봉2동,10194,1631,2392,2649,2596,699,227
2010,노원구,소계,197168,34290,42867,48337,55483,12875,3316
2010,노원구,월계1동,8214,1825,1902,1869,1909,546,163
2010,노원구,월계2동,11204,2328,2869,2716,2519,618,154
2010,노원구,월계3동,12506,2068,3177,3226,3134,707,194
2010,노원구,공릉2동,14230,2233,2644,3583,4465,1045,260
2010,노원구,하계1동,10214,2083,2215,2268,2863,624,161
2010,노원구,하계2동,7972,953,1475,2096,2751,584,113
2010,노원구,중계본동,8267,868,1174,1980,3199,818,228
2010,노원구,중계1동,8637,717,1141,2132,3764,735,148
2010,노원구,중계4동,7407,1187,1645,1834,2116,470,155
2010,노원구,상계1동,14000,2275,2848,3398,4062,1079,338
2010,노원구,상계2동,7028,1117,1342,1742,2153,536,138
2010,노원구,상계5동,8245,1578,1917,2033,2047,520,150
2010,노원구,상계8동,8958,1182,2111,2307,2716,544,98
2010,노원구,상계9동,8218,1179,1794,2154,2531,460,100
2010,노원구,상계10동,7193,1339,1718,1787,1865,390,94
2010,노원구,공릉1.3동,13898,3177,3231,3233,3171,851,235
2010,노원구,상계3.4동,13494,2858,3275,3180,3022,881,278
2010,노원구,상계6.7동,12883,2696,2860,3094,3484,639,110
2010,노원구,중계2.3동,14600,2627,3529,3705,3712,828,199
2010,은평구,소계,154923,29795,36053,37846,37281,10368,3580
2010,은평구,녹번동,12619,3197,3193,2830,2544,620,235
2010,은평구,불광1동,12416,2411,3040,3047,2942,754,222
2010,은평구,갈현1동,8381,1548,1943,2128,2074,515,173
2010,은평구,갈현2동,8608,1320,1949,2176,2267,642,254
2010,은평구,구산동,9641,1339,2066,2552,2654,733,297
2010,은평구,대조동,10705,2583,2658,2470,2149,640,205
2010,은평구,응암1동,10764,2640,2525,2446,2326,627,200
2010,은평구,응암2동,6731,1666,1643,1463,1421,409,129
2010,은평구,신사1동,8681,1383,1936,2302,2208,659,193
2010,은평구,신사2동,7372,1194,1576,1939,1991,523,149
2010,은평구,증산동,6889,1126,1539,1731,1838,471,184
2010,은평구,수색동,6880,1373,1714,1654,1531,438,170
2010,은평구,진관동,10814,858,2060,2883,3428,1166,419
2010,은평구,불광2동,10461,2420,2573,2411,2271,584,202
2010,은평구,응암3동,9295,2205,2280,2115,1966,564,165
2010,은평구,역촌동,14666,2532,3358,3699,3671,1023,383
2010,서대문구,소계,112701,29943,25826,23951,23946,6691,2344
2010,서대문구,천연동,6915,1501,1703,1624,1570,402,115
2010,서대문구,홍제1동,9469,2037,2327,2187,2128,580,210
2010,서대문구,홍제3동,7031,1552,1715,1627,1575,399,163
2010,서대문구,홍제2동,5300,912,1288,1303,1335,355,107
2010,서대문구,홍은1동,8606,1538,1955,2082,2250,571,210
2010,서대문구,홍은2동,9767,2035,2262,2268,2287,651,264
2010,서대문구,남가좌1동,1133,268,265,225,279,78,18
2010,서대문구,남가좌2동,10815,2593,2511,2352,2481,641,237
2010,서대문구,북가좌1동,3230,433,805,780,864,250,98
2010,서대문구,북가좌2동,11352,1965,2558,2855,2856,834,284
2010,서대문구,충현동,8695,2684,2005,1719,1642,493,152
2010,서대문구,북아현동,5558,1545,1392,1189,1085,278,69
2010,서대문구,신촌동,8889,5225,1633,867,781,288,95
2010,서대문구,연희동,15941,5655,3407,2873,2813,871,322
2010,마포구,소계,141402,41109,33534,29318,27842,7323,2276
2010,마포구,용강동,7692,2057,1811,1654,1656,387,127
2010,마포구,대흥동,7795,4295,1752,878,633,180,57
2010,마포구,염리동,6991,2201,1830,1396,1142,325,97
2010,마포구,신수동,7951,1892,1856,1822,1759,471,151
2010,마포구,서교동,14331,7484,3125,1761,1395,420,146
2010,마포구,합정동,7398,2065,2038,1513,1338,340,104
2010,마포구,망원1동,8593,2169,2173,1860,1736,485,170
2010,마포구,망원2동,7040,1277,1625,1766,1764,466,142
2010,마포구,연남동,7307,2248,1883,1500,1180,361,135
2010,마포구,성산1동,7181,1754,1682,1594,1584,409,158
2010,마포구,성산2동,13521,2206,3233,3373,3618,865,226
2010,마포구,상암동,8363,1025,1737,2161,2574,693,173
2010,마포구,도화동,7960,1725,1935,1929,1750,477,144
2010,마포구,서강동,10452,3543,2315,2044,1919,479,152
2010,마포구,공덕동,12605,3475,2954,2760,2567,645,204
2010,마포구,아현동,6222,1693,1585,1307,1227,320,90
2010,양천구,소계,154239,25218,30440,38023,46514,11108,2936
2010,양천구,목1동,9463,855,1507,2576,3643,710,172
2010,양천구,목2동,9934,1756,2075,2454,2732,722,195
2010,양천구,목3동,7466,1472,1563,1913,1898,482,138
2010,양천구,목4동,8445,1255,1397,2004,2886,706,197
2010,양천구,신월1동,8574,2110,1984,1950,1862,517,151
2010,양천구,신월2동,6418,948,1289,1705,1813,508,155
2010,양천구,신월3동,6649,1884,1573,1401,1326,354,111
2010,양천구,신월4동,5636,587,1166,1479,1735,508,161
2010,양천구,신월5동,5063,887,1117,1272,1285,393,109
2010,양천구,신월6동,4372,723,904,1052,1248,355,90
2010,양천구,신월7동,8388,1215,2014,2208,2246,554,151
2010,양천구,신정1동,7262,1208,1276,1561,2485,594,138
2010,양천구,신정2동,6553,748,1023,1602,2446,604,130
2010,양천구,신정3동,15926,3037,3392,3876,4358,985,278
2010,양천구,신정6동,7711,591,1145,2054,3163,615,143
2010,양천구,신정7동,10718,1722,2196,2644,3299,681,176
2010,양천구,목5동,12954,1170,1774,3322,5409,1055,224
2010,양천구,신정4동,12707,3050,3045,2950,2680,765,217
2010,강서구,소계,193629,41804,43145,46633,46647,11965,3435
