기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,은평구,증산동,6985,1479,1923,1650,1468,362,78,25
2015,은평구,수색동,6295,1600,1778,1403,1124,294,81,15
2015,은평구,진관동,16259,2197,3455,3935,4759,1489,332,92
2015,은평구,불광2동,11294,3318,3244,2389,1769,453,94,27
2015,은평구,응암3동,10747,3538,2889,2164,1635,401,97,23
2015,은평구,역촌동,17573,3930,4801,4197,3482,900,202,61
2015,서대문구,소계,121034,40160,29851,24236,20088,5073,1242,384
2015,서대문구,천연동,7468,2195,1855,1621,1411,310,57,19
2015,서대문구,홍제1동,8821,2215,2431,2034,1643,379,88,31
2015,서대문구,홍제3동,7343,1977,1958,1670,1307,333,70,28
2015,서대문구,홍제2동,5419,1165,1486,1330,1106,256,62,14
2015,서대문구,홍은1동,8838,2163,2312,2003,1771,437,123,29
2015,서대문구,홍은2동,11185,3080,2886,2456,2021,560,139,43
2015,서대문구,남가좌1동,1293,340,334,290,254,48,25,X
2015,서대문구,남가좌2동,11427,4073,2737,2180,1818,473,112,34
2015,서대문구,북가좌1동,6485,922,1711,1747,1596,376,98,35
2015,서대문구,북가좌2동,12532,2911,3421,2967,2399,644,142,48
2015,서대문구,충현동,7601,2766,1890,1393,1141,306,78,27
2015,서대문구,북아현동,4075,1485,1037,749,617,145,34,8
2015,서대문구,신촌동,11277,7649,1782,922,680,186,44,14
2015,서대문구,연희동,17270,7219,4011,2874,2324,620,170,52
2015,마포구,소계,154981,52437,38851,30747,25100,6117,1357,372
2015,마포구,용강동,7848,1893,2082,1825,1598,355,74,21
2015,마포구,대흥동,7167,3990,1621,819,540,145,38,14
2015,마포구,염리동,6186,2422,1516,1109,825,239,61,14
2015,마포구,신수동,8250,2922,1930,1589,1351,346,85,27
2015,마포구,서교동,13857,7519,3030,1715,1223,278,68,24
2015,마포구,합정동,8039,3113,2207,1385,1010,264,52,8
2015,마포구,망원1동,9038,3108,2453,1697,1320,356,81,23
2015,마포구,망원2동,7527,1866,1942,1693,1563,346,91,26
2015,마포구,연남동,8149,3465,2084,1317,950,237,82,14
2015,마포구,성산1동,8368,2785,2142,1672,1336,334,72,27
2015,마포구,성산2동,14397,3304,3788,3386,3060,679,143,37
2015,마포구,상암동,11513,2733,2498,2560,2729,798,156,39
2015,마포구,도화동,8404,2216,2193,1954,1515,426,80,20
2015,마포구,서강동,11186,4341,2488,2118,1756,384,77,22
2015,마포구,공덕동,14845,4435,3988,3267,2429,571,125,30
2015,마포구,아현동,10207,2325,2889,2641,1895,359,72,26
2015,양천구,소계,163823,32832,38206,41332,39905,9160,1889,499
2015,양천구,목1동,9974,1121,1870,2976,3229,616,129,33
2015,양천구,목2동,11145,2638,2778,2685,2344,537,129,34
2015,양천구,목3동,8129,2095,2121,1966,1507,356,64,20
2015,양천구,목4동,9184,1793,1916,2238,2513,584,114,26
2015,양천구,신월1동,9247,2864,2400,1926,1536,388,98,35
2015,양천구,신월2동,7874,1425,2080,1987,1735,482,130,35
2015,양천구,신월3동,7188,2668,1829,1349,976,262,82,22
2015,양천구,신월4동,6401,918,1493,1760,1653,436,115,26
2015,양천구,신월5동,5548,1137,1380,1418,1176,342,75,20
2015,양천구,신월6동,4109,878,1091,950,882,249,44,15
2015,양천구,신월7동,8360,1502,2479,2218,1679,378,89,15
2015,양천구,신정1동,5698,744,1109,1520,1828,400,82,15
2015,양천구,신정2동,6697,962,1314,1724,2108,491,77,21
2015,양천구,신정3동,18767,3883,4326,4651,4449,1173,220,65
2015,양천구,신정6동,7737,628,1477,2372,2670,483,86,21
2015,양천구,신정7동,10709,2009,2636,2716,2668,564,89,27
2015,양천구,목5동,12863,1065,2202,3876,4701,865,130,24
2015,양천구,신정4동,14193,4502,3705,3000,2251,554,136,45
2015,강서구,소계,217636,56990,55553,50022,42244,10129,2117,581
2015,강서구,염창동,13241,1767,2796,3682,3945,847,171,33
2015,강서구,등촌1동,9392,3827,1990,1738,1436,320,64,17
2015,강서구,등촌2동,7457,1496,1859,1948,1660,381,86,27
2015,강서구,등촌3동,13678,3640,3991,3183,2323,437,85,19
2015,강서구,화곡본동,13764,3871,3620,3088,2418,597,130,40
2015,강서구,화곡2동,7339,1834,1935,1705,1370,409,64,22
2015,강서구,화곡3동,8194,1822,2058,2054,1651,465,107,37
2015,강서구,화곡4동,8802,2399,2382,2015,1521,386,65,34
2015,강서구,화곡6동,9553,2624,2474,2145,1793,411,91,15
2015,강서구,화곡8동,10104,2480,2907,2336,1813,439,102,27
2015,강서구,가양1동,8736,2204,1976,2125,1865,450,89,27
2015,강서구,가양2동,7482,2817,2252,1399,770,191,41,12
2015,강서구,가양3동,7433,2269,2362,1653,901,202,36,10
2015,강서구,발산1동,12678,1627,2791,3318,3765,958,186,33
2015,강서구,공항동,8659,3432,2173,1567,1101,309,61,16
2015,강서구,방화1동,14570,2875,3482,3575,3433,939,211,55
2015,강서구,방화2동,9893,3295,2644,1989,1437,404,95,29
2015,강서구,방화3동,10324,3053,2998,2169,1643,361,77,23
2015,강서구,화곡1동,21425,7385,5622,4321,3127,731,177,62
2015,강서구,우장산동,14912,2273,3241,4012,4272,892,179,43
2015,구로구,소계,156528,40988,39731,35289,30641,7547,1840,492
2015,구로구,신도림동,12404,1759,2955,3502,3291,686,168,43
2015,구로구,구로1동,7469,1149,1737,2039,2052,383,80,29
2015,구로구,구로3동,12548,6118,2503,1898,1525,370,103,31
2015,구로구,구로4동,10081,3318,2892,2072,1359,342,76,22
2015,구로구,구로5동,12670,4317,3154,2480,2072,500,116,31
