,기간,자치구,동,세대,계_계,계_남,계_여,한국인_계,한국인_남,한국인_여,외국인_계,외국인_남,외국인_여,세대당인구,65세이상고령자
88,2008,동대문구,신설동,"4,125","9,674","4,982","4,692","8,915","4,639","4,276",759,343,416,2.16,"1,079"
89,2008,동대문구,제기1동,"5,878","13,896","7,057","6,839","12,998","6,653","6,345",898,404,494,2.21,"1,843"
90,2008,동대문구,제기2동,"7,149","16,509","8,391","8,118","16,143","8,226","7,917",366,165,201,2.26,"1,961"
91,2008,동대문구,전농1동,"4,856","11,673","5,940","5,733","11,109","5,696","5,413",564,244,320,2.29,"1,383"
92,2008,동대문구,전농3동,"7,124","19,561","9,687","9,874","19,448","9,636","9,812",113,51,62,2.73,"2,032"
93,2008,동대문구,답십리1동,"4,544","11,587","5,789","5,798","11,074","5,562","5,512",513,227,286,2.44,"1,069"
94,2008,동대문구,답십리2동,"5,731","15,755","7,837","7,918","15,657","7,791","7,866",98,46,52,2.73,"1,556"
95,2008,동대문구,답십리4동,"5,877","15,671","7,798","7,873","15,542","7,746","7,796",129,52,77,2.64,"1,451"
96,2008,동대문구,장안1동,"7,763","19,129","9,708","9,421","18,268","9,341","8,927",861,367,494,2.35,"1,679"
97,2008,동대문구,장안2동,"6,593","17,943","9,134","8,809","17,845","9,095","8,750",98,39,59,2.71,"1,185"
98,2008,동대문구,장안3동,"6,456","18,132","9,016","9,116","18,040","8,982","9,058",92,34,58,2.79,"1,399"
99,2008,동대문구,장안4동,"5,983","15,074","7,562","7,512","14,959","7,526","7,433",115,36,79,2.5,"1,458"
100,2008,동대문구,회기동,"5,528","12,024","5,872","6,152","11,047","5,441","5,606",977,431,546,2,"1,091"
101,2008,동대문구,휘경1동,"8,179","18,531","9,219","9,312","17,494","8,748","8,746","1,037",471,566,2.14,"1,725"
102,2008,동대문구,휘경2동,"9,722","24,926","12,251","12,675","24,745","12,170","12,575",181,81,100,2.55,"2,143"
