기간,자치구,행정동,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,행정동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,행정동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2017.3/4,동작구,사당2동,"11,804","29,162","14,126","15,036","28,676","13,893","14,783",486,233,253,2.43,"4,507"
2017.3/4,관악구,소계,"254,964","522,849","263,162","259,687","505,188","254,784","250,404","17,661","8,378","9,283",1.98,"69,486"
2017.3/4,관악구,보라매동,"11,639","26,657","13,138","13,519","25,433","12,560","12,873","1,224",578,646,2.19,"3,821"
2017.3/4,관악구,청림동,"6,611","16,745","8,213","8,532","16,617","8,157","8,460",128,56,72,2.51,"2,459"
2017.3/4,관악구,행운동,"16,269","30,507","14,842","15,665","29,886","14,592","15,294",621,250,371,1.84,"3,865"
2017.3/4,관악구,낙성대동,"10,304","17,941","9,003","8,938","17,081","8,625","8,456",860,378,482,1.66,"1,853"
2017.3/4,관악구,중앙동,"8,550","15,561","7,499","8,062","15,144","7,307","7,837",417,192,225,1.77,"2,187"
2017.3/4,관악구,인헌동,"13,731","27,888","13,729","14,159","27,513","13,573","13,940",375,156,219,2,"3,510"
2017.3/4,관악구,남현동,"8,921","19,114","9,142","9,972","18,908","9,041","9,867",206,101,105,2.12,"2,321"
2017.3/4,관악구,서원동,"12,687","23,658","12,025","11,633","22,869","11,674","11,195",789,351,438,1.8,"2,886"
2017.3/4,관악구,신원동,"9,843","20,032","9,992","10,040","18,802","9,372","9,430","1,230",620,610,1.91,"2,921"
2017.3/4,관악구,서림동,"14,112","25,318","13,909","11,409","24,612","13,641","10,971",706,268,438,1.74,"3,054"
2017.3/4,관악구,신사동,"12,398","26,303","13,288","13,015","23,208","11,668","11,540","3,095","1,620","1,475",1.87,"3,085"
2017.3/4,관악구,신림동,"15,201","21,621","10,884","10,737","20,688","10,455","10,233",933,429,504,1.36,"1,835"
2017.3/4,관악구,난향동,"6,412","16,865","8,369","8,496","16,738","8,300","8,438",127,69,58,2.61,"2,407"
2017.3/4,관악구,조원동,"9,803","19,954","10,248","9,706","17,834","9,119","8,715","2,120","1,129",991,1.82,"2,458"
