2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
개봉동 (103),구의동 (105),개봉동 (111),중계동 (124),신당동 (118),응암동 (113),명일동 (119),신길동 (148),방학동 (163),방화동 (194),중곡동 (223),성산동 (105)
중곡동 (100),창동 (103),갈현동 (110),개포동 (123),사당동 (114),화양동 (113),갈현동 (117),신당동 (147),중곡동 (157),공릉동 (194),신길동 (218),쌍문동 (104)
번동 (98),중곡동 (101),방이동 (104),대림동 (121),행당동 (113),압구정동 (112),방학동 (116),공릉동 (146),상암동 (156),가락동 (193),합정동 (215),개봉동 (103)
응암동 (97),명일동 (99),내발산동 (102),방학동 (114),상암동 (112),방이동 (112),공릉동 (116),갈현동 (145),신당동 (153),망원동 (191),창동 (211),노량진동 (100)
방이동 (94),사당동 (98),번동 (102),상도동 (113),방이동 (112),갈현동 (111),한남동 (115),응암동 (143),망원동 (151),연남동 (188),상도동 (210),전농동 (97)
창천동 (92),방이동 (96),행당동 (102),갈현동 (111),중계동 (112),내발산동 (111),응암동 (115),중계동 (142),응암동 (151),압구정동 (187),갈현동 (210),안암동5가 (97)
압구정동 (89),행당동 (96),중계동 (100),신당동 (110),문정동 (110),번동 (105),중계동 (114),암사동 (141),성수동2가 (149),신길동 (184),망원동 (209),정릉동 (92)
남가좌동 (87),공릉동 (93),창천동 (100),개봉동 (110),방학동 (110),창동 (102),문정동 (113),행당동 (141),잠원동 (142),방이동 (183),공릉동 (206),신대방동 (91)
성수동2가 (82),상도동 (91),공릉동 (92),전농동 (108),개봉동 (101),공릉동 (101),내발산동 (111),성수동2가 (137),명일동 (142),고척동 (177),방화동 (206),상수동 (90)
갈현동 (82),상암동 (85),응암동 (92),화양동 (102),갈현동 (98),대림동 (100),성수동2가 (110),상도동 (134),암사동 (140),길동 (176),동교동 (203),연희동 (86)
공릉동 (81),내발산동 (84),고척동 (91),공릉동 (99),장위동 (97),성수동2가 (98),상암동 (108),월계동 (130),문정동 (138),동교동 (175),노량진동 (203),월계동 (85)
도봉동 (81),잠원동 (81),상도동 (90),내발산동 (98),내발산동 (95),망원동 (98),암사동 (107),명일동 (129),한남동 (134),노량진동 (169),성수동1가 (195),흑석동 (84)
상봉동 (80),갈현동 (80),화양동 (86),번동 (97),대조동 (94),상암동 (97),개봉동 (104),창동 (126),개봉동 (134),중계동 (168),신천동 (192),공덕동 (83)
화양동 (79),고척동 (78),정릉동 (79),석촌동 (93),전농동 (92),불광동 (96),신당동 (104),방학동 (126),행당동 (133),신당동 (165),응암동 (191),도봉동 (83)
월계동 (75),전농동 (77),문정동 (79),상암동 (90),성수동2가 (92),이태원동 (95),번동 (101),송파동 (123),압구정동 (131),마곡동 (165),행당동 (188),삼전동 (81)
망원동 (74),공항동 (73),염창동 (79),잠원동 (90),신도림동 (91),전농동 (91),동교동 (98),개포동 (114),동교동 (129),한남동 (160),방학동 (185),이문동 (79)
망우동 (74),을지로6가 (73),상암동 (78),대조동 (88),망원동 (91),가양동 (91),상도동 (93),상봉동 (114),상도동 (126),암사동 (159),중계동 (184),홍제동 (77)
대조동 (73),가산동 (71),대조동 (78),도봉동 (87),이태원동 (90),장위동 (90),월계동 (92),이문동 (112),중계동 (124),방학동 (154),길동 (175),문래동3가 (75)
고척동 (71),석촌동 (70),망원동 (77),망원동 (86),상봉동 (89),도봉동 (89),전농동 (92),한남동 (112),내발산동 (119),도곡동 (139),잠원동 (174),북가좌동 (74)
잠원동 (71),대현동 (69),잠원동 (75),망우동 (85),송파동 (88),중계동 (86),개포동 (91),동교동 (112),송파동 (115),상봉동 (139),압구정동 (171),장위동 (73)
중화동 (70),압구정동 (67),공항동 (75),불광동 (82),홍제동 (87),노량진동 (86),정릉동 (91),잠원동 (111),연남동 (115),합정동 (135),상봉동 (163),신도림동 (73)
공항동 (70),남가좌동 (66),송파동 (75),송파동 (80),화양동 (87),문정동 (84),잠원동 (88),석촌동 (110),상봉동 (115),도봉동 (133),성산동 (162),동선동1가 (72)
장위동 (70),도봉동 (66),하월곡동 (73),대현동 (80),노량진동 (87),석촌동 (83),상봉동 (88),망우동 (109),전농동 (115),개포동 (129),도곡동 (148),답십리동 (69)
정릉동 (69),상봉동 (65),마천동 (73),쌍문동 (79),석촌동 (86),쌍문동 (82),송파동 (88),쌍문동 (109),번동 (114),명일동 (128),상수동 (145),종암동 (68)
노량진동 (69),장위동 (64),가양동 (71),성수동2가 (79),정릉동 (86),개봉동 (82),망원동 (85),번동 (109),망우동 (113),진관동 (128),송파동 (143),하월곡동 (67)
전농동 (66),문정동 (64),영등포동4가 (71),정릉동 (78),상도동 (85),대조동 (81),가양동 (84),망원동 (108),쌍문동 (112),쌍문동 (127),석촌동 (141),용두동 (65)
내발산동 (65),월계동 (62),석촌동 (71),고척동 (77),남가좌동 (83),행당동 (80),석촌동 (81),압구정동 (106),도봉동 (110),중화동 (126),불광동 (140),당산동3가 (65)
송파동 (65),송파동 (61),상봉동 (70),길음동 (76),동교동 (83),잠원동 (78),노량진동 (79),내발산동 (106),연희동 (109),월계동 (126),전농동 (140),오금동 (64)
석촌동 (63),답십리동 (60),망우동 (69),행당동 (75),도봉동 (83),묵동 (77),압구정동 (79),연남동 (103),합정동 (108),개봉동 (126),대조동 (139),대현동 (61)
도화동 (63),도화동 (60),남가좌동 (69),월계동 (73),고척동 (80),정릉동 (74),연희동 (78),노량진동 (103),개포동 (108),상수동 (124),도화동 (137),군자동 (61)
남현동 (62),석관동 (60),이문동 (68),한남동 (72),둔촌동 (80),동교동 (71),불광동 (78),제기동 (102),도화동 (107),망우동 (124),고척동 (137),제기동 (61)
상도동 (61),대조동 (59),월계동 (67),상봉동 (71),망우동 (79),송파동 (70),남가좌동 (78),전농동 (100),불광동 (107),봉래동2가 (124),진관동 (136),홍은동 (60)
쌍문동 (61),하월곡동 (58),둔촌동 (67),공항동 (69),개포동 (77),대현동 (70),대조동 (76),하월곡동 (99),상수동 (106),대조동 (123),도봉동 (134),용답동 (60)
신대방동 (60),홍은동 (58),성수동2가 (67),용두동 (69),하월곡동 (77),이문동 (70),장위동 (76),대조동 (98),회기동 (99),을지로6가 (123),중화동 (134),남가좌동 (59)
제기동 (58),성수동2가 (58),장위동 (67),이문동 (68),쌍문동 (76),한남동 (69),도봉동 (75),정릉동 (97),고척동 (99),불광동 (122),망우동 (132),오류동 (58)
문정동 (58),홍제동 (57),도봉동 (64),홍은동 (68),불광동 (76),상봉동 (68),망우동 (74),합정동 (95),노량진동 (98),석촌동 (122),연희동 (131),석관동 (57)
홍제동 (57),망우동 (57),홍제동 (64),삼전동 (68),연희동 (74),염창동 (67),하월곡동 (71),성수동1가 (95),월계동 (97),송파동 (121),쌍문동 (130),영등포동4가 (54)
가양동 (55),망원동 (56),쌍문동 (64),둔촌동 (67),대현동 (73),역촌동 (67),이문동 (70),개봉동 (95),역촌동 (97),역촌동 (121),번동 (129),하왕십리동 (53)
신도림동 (55),쌍문동 (56),용두동 (63),성산동 (67),중화동 (73),흑석동 (67),홍제동 (70),홍제동 (93),중화동 (97),번동 (121),월계동 (128),휘경동 (52)
답십리동 (54),일원동 (56),신천동 (63),홍제동 (66),공항동 (72),상일동 (67),묵동 (69),불광동 (91),이문동 (97),회기동 (120),암사동 (127),염리동 (50)
이문동 (53),마천동 (56),중화동 (62),노량진동 (66),묵동 (72),용두동 (66),둔촌동 (66),회기동 (90),안암동5가 (96),성수동1가 (120),개봉동 (126),가리봉동 (50)
행당동 (53),창신동 (55),전농동 (60),이태원동 (65),역촌동 (71),답십리동 (66),대현동 (66),도봉동 (89),석촌동 (94),전농동 (118),정릉동 (126),하계동 (46)
둔촌동 (52),정릉동 (55),이태원동 (60),염창동 (63),한남동 (70),하월곡동 (64),삼전동 (64),역촌동 (89),관철동 (93),묵동 (117),역촌동 (124),장지동 (44)
마천동 (51),이태원동 (53),도화동 (59),장위동 (63),길음동 (69),월계동 (64),성수동1가 (64),연희동 (87),신천동 (93),정릉동 (116),회기동 (123),신수동 (43)
회기동 (50),문래동3가 (52),길음동 (59),도화동 (62),이문동 (68),망우동 (64),쌍문동 (64),중화동 (84),정릉동 (93),홍제동 (115),묵동 (122),영등포동3가 (43)
홍은동 (50),불광동 (52),노량진동 (58),동교동 (61),답십리동 (68),홍제동 (63),신천동 (60),고척동 (84),하월곡동 (90),잠원동 (112),개포동 (118),청량리동 (43)
용두동 (49),한남동 (52),석관동 (56),문래동3가 (60),합정동 (67),고척동 (63),을지로6가 (60),신도림동 (83),남가좌동 (90),신도림동 (111),이문동 (118),길음동 (43)
불광동 (49),묵동 (52),대현동 (55),중화동 (60),월계동 (67),마천동 (62),남현동 (60),상수동 (83),홍제동 (89),이문동 (107),제기동 (114),대방동 (41)
공덕동 (49),회기동 (52),불광동 (54),종암동 (59),잠원동 (64),홍은동 (61),일원동 (60),염창동 (82),오류동 (89),신천동 (104),장지동 (114),성북동 (41)
동교동 (48),오류동 (52),오금동 (54),신대방동 (59),염창동 (63),길음동 (61),흑석동 (60),오류동 (82),성수동1가 (87),대현동 (104),신도림동 (113),신설동 (39)
오류동 (48),노량진동 (52),삼전동 (53),하월곡동 (58),용두동 (61),성산동 (61),합정동 (59),대현동 (81),공덕동 (85),하월곡동 (103),내발산동 (113),광장동 (38)
일원동 (47),오금동 (51),창신동 (53),공덕동 (57),신천동 (59),공항동 (60),성산동 (59),장위동 (78),둔촌동 (85),내발산동 (101),공덕동 (110),풍납동 (37)
하월곡동 (47),제기동 (51),동교동 (52),오류동 (56),삼전동 (59),삼전동 (59),답십리동 (58),안암동5가 (77),신내동 (85),남가좌동 (96),관철동 (109),거여동 (36)
한남동 (47),성산동 (50),압구정동 (52),가양동 (56),도화동 (58),신대방동 (59),신대방동 (58),성산동 (77),성산동 (84),도화동 (96),홍제동 (105),양평동4가 (36)
북가좌동 (46),북가좌동 (50),신대방동 (51),답십리동 (56),신내동 (57),연희동 (59),오금동 (57),둔촌동 (75),대조동 (83),관철동 (95),신대방동 (100),동선동2가 (36)
거여동 (46),신도림동 (50),홍은동 (51),압구정동 (56),일원동 (56),도화동 (58),역촌동 (57),신대방동 (74),신도림동 (83),연희동 (92),남가좌동 (100),마천동 (36)
노고산동 (46),둔촌동 (49),을지로6가 (50),석관동 (55),마천동 (56),합정동 (58),연남동 (57),석관동 (74),북가좌동 (82),성산동 (92),대현동 (98),용강동 (35)
충무로1가 (45),공덕동 (49),역촌동 (50),묵동 (53),성수동1가 (55),오금동 (57),상수동 (56),묵동 (74),마천동 (82),공항동 (89),공항동 (97),노고산동 (33)
북아현동 (45),신대방동 (48),신내동 (49),진관동 (52),흑석동 (55),신도림동 (56),광장동 (56),일원동 (74),한강로3가 (80),신대방동 (88),흑석동 (97),아현동 (33)
