2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
오장동 (6),0 (5),통의동 (6),동소문동4가 (6),동빙고동 (7),연지동 (7),광희동1가 (8),명륜3가 (10),정동 (10),흥인동 (12),통인동 (15),송현동 (0)
문래동2가 (6),서린동 (5),동선동2가 (6),과해동 (6),종로1가 (7),필운동 (7),청파동1가 (7),중동 (10),양평동3가 (10),신계동 (12),영등포동6가 (15),효자동 (0)
삼선동4가 (6),동소문동2가 (5),영등포동8가 (6),소격동 (6),통인동 (7),내자동 (7),응봉동 (7),영등포동8가 (10),동선동4가 (10),대신동 (12),보문동7가 (14),예지동 (0)
신문로2가 (6),청파동1가 (5),정동 (6),효창동 (6),필동1가 (7),신문로2가 (7),사근동 (7),누상동 (10),당산동 (10),청파동1가 (12),필동3가 (14),충신동 (0)
만리동2가 (6),종로3가 (5),본동 (6),율현동 (6),흥인동 (7),회현동2가 (7),돈의동 (7),사직동 (10),안국동 (10),서린동 (12),봉래동2가 (14),홍파동 (0)
보문동7가 (6),연건동 (5),동소문동6가 (6),명륜1가 (6),소격동 (7),무교동 (7),도렴동 (7),화동 (10),구수동 (10),동선동5가 (12),을지로1가 (14),중학동 (0)
당산동 (6),당산동4가 (5),양평동2가 (6),순화동 (6),적선동 (7),계동 (7),옥인동 (7),원효로3가 (9),인의동 (10),보문동7가 (12),송정동 (14),청운동 (0)
동선동3가 (6),연지동 (5),문래동1가 (6),저동2가 (6),구수동 (7),봉익동 (6),문래동1가 (7),마포동 (9),적선동 (10),동소문동2가 (12),체부동 (14),누상동 (0)
연지동 (6),문배동 (4),을지로1가 (6),도렴동 (6),중동 (7),필동1가 (6),온수동 (7),태평로1가 (9),와룡동 (10),저동2가 (12),금호동1가 (14),운니동 (0)
교남동 (5),동선동4가 (4),필동3가 (6),필동1가 (6),종로2가 (7),봉래동2가 (6),통인동 (7),무악동 (9),중동 (10),효창동 (11),당산동 (14),옥인동 (0)
필운동 (5),강일동 (4),영등포동1가 (6),묘동 (6),중학동 (7),동소문동7가 (6),장지동 (7),수하동 (9),남산동2가 (10),정동 (11),문래동6가 (14),신문로2가 (0)
충무로4가 (5),충무로5가 (4),홍지동 (6),삼선동5가 (6),연건동 (7),적선동 (6),순화동 (7),필운동 (9),계동 (10),궁동 (11),화동 (14),내자동 (0)
원효로3가 (5),보문동7가 (4),봉래동2가 (5),흥인동 (6),종로3가 (6),종로6가 (6),문래동6가 (7),충무로5가 (9),성북동1가 (10),문래동2가 (11),대신동 (14),연건동 (0)
통의동 (5),양평동2가 (4),청파동1가 (5),홍익동 (6),원서동 (6),보문동7가 (6),신촌동 (6),소격동 (9),서린동 (9),소격동 (11),원지동 (13),창성동 (0)
인현동2가 (5),문래동1가 (4),남대문로4가 (5),성북동 (6),원효로4가 (6),문래동4가 (6),원효로4가 (6),효창동 (9),사직동 (9),문배동 (11),필동1가 (13),경운동 (0)
운니동 (5),양화동 (4),을지로5가 (5),서린동 (5),이화동 (6),화동 (6),소격동 (6),오장동 (9),신원동 (9),회현동2가 (11),문배동 (13),내수동 (0)
서소문동 (5),마포동 (4),장충동1가 (5),외발산동 (5),남산동2가 (6),마포동 (6),중동 (6),명륜1가 (9),옥인동 (9),삼선동5가 (11),묘동 (13),망우동 (0)
장교동 (5),홍파동 (4),원남동 (5),문래동6가 (5),명륜1가 (6),장지동 (6),동작동 (6),묘동 (9),종로2가 (9),구기동 (11),안국동 (12),창신동 (0)
남대문로2가 (5),신원동 (4),영천동 (5),당산동4가 (5),양평동5가 (6),수송동 (6),문배동 (6),당산동 (9),을지로1가 (9),충무로4가 (11),영등포동2가 (12),도렴동 (0)
동소문동5가 (5),문래동6가 (4),충정로3가 (5),양평동5가 (5),사직동 (6),삼선동5가 (6),운니동 (6),필동3가 (8),저동2가 (9),냉천동 (11),본동 (12),관철동 (0)
신원동 (5),옥천동 (4),동선동4가 (5),문래동2가 (5),원효로3가 (6),원지동 (6),남대문로2가 (6),구기동 (8),광희동2가 (9),영등포동2가 (11),남산동2가 (12),명륜2가 (0)
쌍림동 (5),효창동 (4),양평동3가 (5),장지동 (5),동소문동1가 (6),내곡동 (6),동소문동5가 (6),수표동 (8),동선동3가 (9),북창동 (11),이화동 (12),수송동 (0)
동소문동1가 (4),만리동2가 (4),삼선동4가 (5),보문동7가 (5),봉래동1가 (6),효제동 (6),장교동 (6),원서동 (8),미근동 (9),남창동 (11),무학동 (12),종로3가 (0)
산천동 (4),견지동 (4),도렴동 (5),동소문동1가 (5),문래동5가 (6),양평동3가 (6),부암동 (6),연건동 (8),무교동 (9),안국동 (11),동소문동4가 (12),익선동 (0)
본동 (4),갈월동 (4),초동 (4),본동 (5),동소문동6가 (6),안국동 (6),익선동 (6),삼선동4가 (8),광희동1가 (9),남산동1가 (10),부암동 (11),명륜3가 (0)
문래동6가 (4),남산동2가 (4),천왕동 (4),보문동5가 (5),남대문로2가 (6),수표동 (5),관수동 (6),봉익동 (8),강일동 (9),당산동 (10),누상동 (11),삼청동 (0)
홍지동 (4),남대문로4가 (4),종로4가 (4),무악동 (5),천왕동 (6),쌍림동 (5),통의동 (6),동작동 (8),동소문동6가 (9),충무로5가 (10),만리동1가 (11),계동 (0)
와룡동 (4),응봉동 (4),체부동 (4),오장동 (5),구기동 (6),성북동1가 (5),누하동 (6),원남동 (8),효제동 (9),필동3가 (10),동소문동5가 (11),명륜4가 (0)
초동 (4),원효로2가 (4),교북동 (4),구수동 (5),교북동 (6),원효로3가 (5),보문동1가 (6),종로3가 (8),주교동 (8),동소문동6가 (10),수표동 (11),부암동 (0)
응봉동 (4),충정로1가 (4),문배동 (4),을지로3가 (5),화동 (5),인현동1가 (5),동선동5가 (6),안국동 (8),신공덕동 (8),돈의동 (10),보문동2가 (11),가회동 (0)
예관동 (4),장충동1가 (4),개화동 (4),보문동2가 (5),용산동5가 (5),광희동2가 (5),삼선동3가 (6),누하동 (8),무학동 (8),영천동 (9),인의동 (11),관훈동 (0)
을지로1가 (4),수표동 (4),마포동 (4),당산동 (5),충무로5가 (5),정동 (5),보문동7가 (6),장충동1가 (8),율현동 (8),남대문로4가 (9),수색동 (11),증산동 (0)
장충동1가 (4),오장동 (3),공평동 (4),봉래동2가 (5),동소문동4가 (5),사직동 (5),동소문동6가 (6),미근동 (8),내자동 (8),문래동4가 (9),재동 (11),구산동 (0)
정동 (4),삼선동1가 (3),팔판동 (4),마곡동 (5),영등포동1가 (5),중동 (5),동소문동2가 (6),삼선동5가 (7),대신동 (8),문래동5가 (9),용산동6가 (11),불광동 (0)
묵정동 (4),의주로1가 (3),대신동 (4),무학동 (5),내자동 (5),신영동 (5),삼선동1가 (6),와룡동 (7),삼선동1가 (8),구수동 (9),응봉동 (11),진관동 (0)
계동 (4),필동1가 (3),과해동 (4),장충동1가 (4),순화동 (5),문래동2가 (5),동소문동4가 (5),동소문동6가 (7),견지동 (8),안암동1가 (9),영천동 (11),역촌동 (0)
필동3가 (4),남대문로2가 (3),장교동 (4),재동 (4),장지동 (5),자곡동 (5),명륜1가 (5),보문동7가 (7),남대문로3가 (8),명륜1가 (9),사간동 (10),녹번동 (0)
필동1가 (4),상왕십리동 (3),보문동2가 (4),가회동 (4),안암동2가 (5),율현동 (5),신문로2가 (5),대신동 (7),효창동 (8),삼선동1가 (9),정동 (10),응암동 (0)
동소문동2가 (4),동소문동3가 (3),신촌동 (4),사직동 (4),체부동 (5),문래동1가 (4),사직동 (5),보문동5가 (7),종로3가 (8),옥인동 (9),동소문동1가 (10),갈현동 (0)
체부동 (4),남대문로3가 (3),을지로3가 (4),와룡동 (4),오장동 (5),과해동 (4),장충동1가 (5),쌍림동 (7),신영동 (8),통의동 (9),동선동5가 (10),대조동 (0)
회현동2가 (4),신영동 (3),행촌동 (4),동선동4가 (4),연지동 (5),동선동5가 (4),외발산동 (5),흥인동 (7),동소문동4가 (8),율현동 (9),구수동 (10),숭인동 (0)
태평로1가 (4),공평동 (3),원지동 (4),충무로5가 (4),안국동 (5),충무로5가 (4),문래동5가 (5),회현동2가 (7),을지로7가 (7),사직동 (9),문래동5가 (10),관수동 (0)
종로4가 (4),삼선동4가 (3),세곡동 (4),종로1가 (4),동소문동7가 (4),수하동 (4),0 (5),율현동 (7),천왕동 (7),견지동 (9),중동 (10),돈의동 (0)
구수동 (3),경운동 (3),쌍림동 (4),종로4가 (4),신영동 (4),종로2가 (4),구수동 (5),문래동1가 (7),영등포동1가 (7),내곡동 (8),권농동 (10),혜화동 (0)
세곡동 (3),효자동 (3),장사동 (3),을지로4가 (4),영천동 (4),평동 (4),묘동 (5),원효로4가 (6),본동 (7),0 (8),양화동 (10),신문로1가 (0)
안암동4가 (3),예지동 (3),동소문동3가 (3),원지동 (4),문래동2가 (4),동선동4가 (4),주교동 (5),서린동 (6),충신동 (7),창성동 (8),연건동 (10),종로2가 (0)
봉래동1가 (3),예장동 (3),계동 (3),공평동 (4),당산동 (4),사간동 (4),대신동 (5),동빙고동 (6),온수동 (7),예장동 (8),동빙고동 (10),연지동 (0)
양평동6가 (3),청운동 (3),익선동 (3),동소문동6가 (4),효자동 (4),저동1가 (4),동선동4가 (5),돈암동 (6),회현동3가 (7),팔판동 (8),인현동2가 (10),당주동 (0)
문래동5가 (3),동선동3가 (3),동소문동4가 (3),남산동2가 (4),견지동 (4),을지로4가 (4),원남동 (5),구수동 (6),내곡동 (7),천왕동 (8),남대문로3가 (10),공평동 (0)
동선동5가 (3),문래동5가 (3),동소문동1가 (3),견지동 (4),용산동3가 (4),동소문동4가 (4),마곡동 (5),교남동 (6),동빙고동 (7),오장동 (8),도렴동 (9),평동 (0)
동소문동7가 (3),인현동2가 (3),원서동 (3),문래동1가 (4),을지로5가 (4),통인동 (4),남대문로4가 (5),동선동5가 (6),홍지동 (7),도렴동 (8),평동 (9),0 (0)
산림동 (3),정동 (3),가회동 (3),통인동 (4),회현동2가 (4),도렴동 (4),안국동 (5),동소문동1가 (6),인현동2가 (7),주교동 (8),청파동1가 (9),종로5가 (0)
만리동1가 (3),신촌동 (3),합동 (3),영천동 (4),신문로2가 (4),문배동 (4),저동2가 (5),태평로2가 (6),경운동 (7),보문동5가 (7),을지로4가 (9),구기동 (0)
교북동 (3),용산동5가 (3),신원동 (3),신계동 (4),팔판동 (4),묘동 (4),보문동5가 (4),필동1가 (6),명륜1가 (6),누상동 (7),마포동 (9),묘동 (0)
용산동3가 (3),재동 (3),산천동 (3),구기동 (4),장교동 (4),명륜1가 (4),상월곡동 (4),과해동 (6),누상동 (6),신영동 (7),율현동 (9),신영동 (0)
현저동 (3),보문동5가 (3),이화동 (3),이화동 (3),삼선동1가 (4),동빙고동 (4),동소문동7가 (4),안암동1가 (6),영천동 (6),동선동3가 (7),원서동 (9),견지동 (0)
안국동 (3),체부동 (3),용산동5가 (3),봉익동 (3),남산동1가 (4),합동 (4),견지동 (4),산천동 (6),보문동2가 (6),광희동2가 (7),효창동 (9),명륜1가 (0)
남산동1가 (3),대신동 (3),신교동 (3),남대문로3가 (3),평동 (4),장충동1가 (3),와룡동 (4),남대문로4가 (6),동소문동1가 (6),쌍림동 (7),만리동2가 (9),원서동 (0)
신영동 (3),무학동 (3),인현동2가 (3),마포동 (3),회현동3가 (3),교북동 (3),교남동 (4),봉래동2가 (6),평동 (6),보문동1가 (7),오장동 (9),낙원동 (0)
재동 (3),삼각동 (3),동빙고동 (3),평동 (3),사근동 (3),동소문동6가 (3),종로4가 (4),효자동 (5),인현동1가 (6),화동 (7),연지동 (9),와룡동 (0)
0 (3),을지로5가 (3),용산동6가 (3),청파동1가 (3),익선동 (3),견지동 (3),미근동 (4),을지로4가 (5),수하동 (6),원효로4가 (7),홍지동 (9),평창동 (0)
을지로3가 (3),동빙고동 (3),만리동1가 (3),충신동 (3),종로4가 (3),묵정동 (3),팔판동 (4),인현동1가 (5),을지로4가 (6),영등포동1가 (7),사직동 (9),재동 (0)
남대문로4가 (3),남산동1가 (3),남대문로2가 (3),창성동 (3),보문동2가 (3),구수동 (3),예장동 (4),보문동4가 (5),남대문로4가 (6),응봉동 (6),동선동3가 (8),안국동 (0)
삼선동3가 (2),원효로3가 (3),문래동6가 (3),문배동 (3),저동1가 (3),가회동 (3),인현동2가 (4),을지로1가 (5),회현동2가 (5),묵정동 (6),남대문로2가 (8),누하동 (0)
원서동 (2),쌍림동 (3),홍파동 (3),쌍림동 (3),홍지동 (3),양화동 (3),묵정동 (4),문래동4가 (5),팔판동 (5),운니동 (6),영등포동1가 (8),통의동 (0)
현석동 (2),계동 (3),인현동1가 (3),묵정동 (3),을지로4가 (3),토정동 (3),오장동 (4),을지로5가 (5),청파동1가 (5),안암동2가 (6),중학동 (8),인사동 (0)
화동 (2),명륜1가 (3),저동2가 (3),삼선동1가 (3),입정동 (3),옥인동 (3),동빙고동 (4),원지동 (5),중학동 (5),경운동 (6),소격동 (8),면목동 (0)
권농동 (2),종로4가 (2),마곡동 (3),합동 (3),응봉동 (3),운니동 (3),예지동 (4),연지동 (5),봉래동2가 (5),성북동1가 (6),와룡동 (8),묵동 (0)
원남동 (2),소격동 (2),을지로7가 (3),주교동 (3),마포동 (3),동선동3가 (3),남산동2가 (4),충신동 (5),무악동 (5),동소문동4가 (6),천연동 (8),정동 (0)
경운동 (2),영천동 (2),운니동 (3),장교동 (3),외발산동 (3),보문동4가 (3),청운동 (3),무학동 (5),필동1가 (5),재동 (6),보문동1가 (8),태평로1가 (0)
보문동4가 (2),구수동 (2),항동 (3),인현동1가 (3),인현동1가 (3),익선동 (3),삼선동4가 (3),동선동4가 (5),을지로5가 (5),청운동 (5),용산동5가 (8),인현동1가 (0)
청운동 (2),원지동 (2),창성동 (3),삼선동3가 (3),과해동 (3),누하동 (3),신원동 (3),외발산동 (5),삼선동4가 (5),가회동 (5),충무로5가 (8),황학동 (0)
내곡동 (2),남학동 (2),삼선동1가 (2),0 (3),신창동 (3),동소문동1가 (3),을지로4가 (3),도렴동 (5),충무로5가 (5),남대문로2가 (5),천왕동 (7),회현동1가 (0)
옥인동 (2),묵정동 (2),오장동 (2),누하동 (3),동선동5가 (3),영등포동1가 (3),옥천동 (3),이화동 (5),마포동 (4),보문동2가 (5),안암동1가 (7),봉래동2가 (0)
서린동 (2),창성동 (2),광희동2가 (2),동빙고동 (3),문래동4가 (3),홍지동 (3),가회동 (3),용산동1가 (5),안암동1가 (4),산림동 (5),삼선동1가 (7),필동2가 (0)
성북동1가 (2),홍지동 (2),내곡동 (2),보문동4가 (2),묘동 (3),주교동 (3),현저동 (3),신교동 (4),응봉동 (4),동선동4가 (5),보문동6가 (7),저동2가 (0)
장사동 (2),화동 (2),0 (2),신원동 (2),보문동5가 (3),보문동6가 (3),회현동2가 (3),남산동1가 (4),남산동1가 (4),본동 (5),염곡동 (7),회현동2가 (0)
안암동1가 (2),이화동 (2),원효로2가 (2),천연동 (2),보문동1가 (3),남산동1가 (3),삼선동5가 (3),용산동5가 (4),문래동5가 (4),동소문동1가 (5),옥인동 (7),무교동 (0)
남대문로3가 (2),봉익동 (2),효자동 (2),하중동 (2),수표동 (3),남대문로4가 (3),남대문로3가 (3),영천동 (4),신교동 (4),무악동 (5),구기동 (7),남산동2가 (0)
명륜3가 (2),관훈동 (2),삼선동3가 (2),교북동 (2),누하동 (3),재동 (3),남산동3가 (3),동소문동4가 (4),도원동 (4),동작동 (5),종로4가 (7),순화동 (0)
수표동 (2),장사동 (2),동소문동5가 (2),영등포동1가 (2),율현동 (3),이화동 (3),남산동1가 (3),평동 (4),예관동 (4),무학동 (5),용산동3가 (7),장충동2가 (0)
입정동 (2),초동 (2),남대문로3가 (2),장사동 (2),와룡동 (3),원효로4가 (3),봉익동 (3),주교동 (4),운니동 (4),을지로5가 (5),공평동 (7),태평로2가 (0)
동빙고동 (2),인현동1가 (2),저동1가 (2),회현동3가 (2),동소문동3가 (3),서린동 (3),을지로5가 (3),동소문동7가 (4),용산동5가 (4),합동 (5),외발산동 (7),남대문로5가 (0)
청파동1가 (2),누하동 (2),명륜1가 (2),문래동5가 (2),봉익동 (2),남대문로3가 (3),충정로1가 (3),삼선동1가 (4),충정로1가 (4),신문로2가 (5),동소문동6가 (7),주자동 (0)
을지로4가 (2),와룡동 (2),봉래동1가 (2),개화동 (2),항동 (2),천연동 (3),창성동 (3),청파동1가 (4),보문동5가 (4),보문동4가 (4),보문동4가 (7),방산동 (0)
도원동 (2),원효로4가 (2),봉익동 (2),원효로4가 (2),원남동 (2),신원동 (3),수하동 (3),성북동1가 (4),장충동1가 (4),천연동 (4),남대문로4가 (7),충무로4가 (0)
문배동 (2),안암동2가 (2),와룡동 (2),남산동1가 (2),합동 (2),종로4가 (2),공평동 (2),본동 (4),합동 (4),종로4가 (4),주교동 (7),수표동 (0)
수하동 (2),서빙고동 (2),예장동 (2),수하동 (2),천연동 (2),충신동 (2),신영동 (2),삼선동3가 (4),문래동2가 (4),권농동 (4),충무로4가 (6),충무로2가 (0)
충무로5가 (2),동소문동1가 (2),문래동5가 (2),수표동 (2),창성동 (2),누상동 (2),경운동 (2),사간동 (4),방산동 (4),장사동 (4),원효로4가 (6),초동 (0)
가회동 (2),동선동5가 (2),예지동 (2),방산동 (2),사간동 (2),교남동 (2),무학동 (2),중학동 (3),쌍림동 (4),남대문로3가 (4),봉익동 (6),쌍림동 (0)
보문동6가 (2),안국동 (2),누하동 (2),익선동 (2),필운동 (2),삼선동4가 (2),예관동 (2),청운동 (3),저동1가 (3),보문동6가 (4),동소문동3가 (6),북창동 (0)
동소문동4가 (2),남대문로1가 (2),인의동 (2),안암동1가 (2),동소문동2가 (2),현저동 (2),합동 (2),남대문로2가 (3),화동 (3),회현동3가 (4),삼선동3가 (6),명동2가 (0)
장지동 (2),을지로3가 (2),사근동 (2),입정동 (2),보문동4가 (2),보문동5가 (2),율현동 (2),광희동2가 (3),종로4가 (3),개화동 (4),충신동 (6),다동 (0)
양평동5가 (2),송현동 (2),옥인동 (2),용산동5가 (2),삼선동3가 (2),경운동 (2),용산동6가 (2),묵정동 (3),장교동 (3),용산동3가 (4),인현동1가 (6),을지로3가 (0)
사근동 (2),동소문동5가 (2),화동 (2),산천동 (2),충신동 (2),0 (2),보문동4가 (2),만리동1가 (3),천연동 (3),동빙고동 (4),청운동 (6),무학동 (0)
회현동3가 (1),필동3가 (2),보문동5가 (2),양화동 (2),0 (2),삼각동 (2),보문동2가 (2),남대문로3가 (3),교남동 (3),인현동2가 (4),내곡동 (6),남대문로3가 (0)
옥천동 (1),익선동 (2),통인동 (2),세곡동 (2),용산동6가 (2),남학동 (2),평동 (2),보문동1가 (3),예지동 (3),토정동 (4),묵정동 (6),장충동1가 (0)
광희동2가 (1),평동 (2),경운동 (2),효자동 (2),산림동 (2),봉래동1가 (2),동소문동3가 (2),견지동 (3),0 (3),문래동1가 (4),장충동1가 (6),장교동 (0)
천연동 (1),만리동1가 (2),수하동 (2),사근동 (2),봉래동2가 (2),남산동3가 (2),만리동1가 (2),문래동5가 (3),당인동 (3),양평동6가 (4),원남동 (6),을지로1가 (0)
예장동 (1),문래동2가 (2),현석동 (2),예장동 (2),청파동1가 (2),산림동 (2),당인동 (2),사근동 (3),남대문로1가 (3),동소문동7가 (4),신영동 (5),예장동 (0)
봉원동 (1),본동 (2),율현동 (2),만리동2가 (2),남대문로3가 (2),와룡동 (2),저동1가 (2),신계동 (3),안암동2가 (3),와룡동 (4),신계동 (5),광희동1가 (0)
남학동 (1),가회동 (1),을지로4가 (2),청운동 (2),신원동 (2),오장동 (2),충신동 (2),서빙고동 (3),보문동1가 (3),만리동1가 (4),봉래동1가 (5),흥인동 (0)
충정로1가 (1),안암동1가 (1),동작동 (2),안암동4가 (2),서빙고동 (2),남대문로2가 (2),화동 (2),종로4가 (3),동선동5가 (3),충신동 (4),당인동 (5),만리동2가 (0)
남산동3가 (1),천연동 (1),누상동 (2),동소문동7가 (2),도원동 (2),용산동1가 (2),본동 (2),염곡동 (3),남대문로2가 (3),교남동 (4),남산동1가 (5),저동1가 (0)
익선동 (1),봉원동 (1),용산동3가 (2),저동1가 (2),문배동 (2),용산동6가 (2),신교동 (2),영등포동1가 (3),효자동 (3),현석동 (4),장사동 (5),산림동 (0)
효창동 (1),성북동1가 (1),안국동 (2),예관동 (2),가회동 (2),서빙고동 (2),효자동 (2),당인동 (3),신창동 (3),항동 (4),현석동 (5),만리동1가 (0)
동소문동3가 (1),보문동6가 (1),방산동 (2),원남동 (2),산천동 (2),남산동2가 (2),상왕십리동 (2),장교동 (2),권농동 (2),입정동 (3),장교동 (5),인현동2가 (0)
홍파동 (1),보문동4가 (1),상왕십리동 (1),용산동4가 (1),문래동1가 (2),보문동1가 (2),토정동 (2),봉래동1가 (2),보문동7가 (2),충정로1가 (3),회현동2가 (5),수색동 (0)
원효로4가 (1),동소문동7가 (1),남산동1가 (1),남산동3가 (1),상왕십리동 (2),동작동 (2),하중동 (2),의주로1가 (2),의주로2가 (2),봉래동1가 (3),운니동 (5),오장동 (0)
봉래동2가 (1),현저동 (1),보문동4가 (1),성북동1가 (1),장충동1가 (2),공평동 (2),양화동 (2),경운동 (2),묵정동 (2),남산동3가 (3),예장동 (5),예관동 (0)
안암동3가 (1),삼선동3가 (1),동소문동7가 (1),산림동 (1),남산동3가 (2),현석동 (2),원서동 (2),남산동3가 (2),안암동4가 (2),장교동 (3),동소문동7가 (4),을지로4가 (0)
보문동5가 (1),권농동 (1),흥인동 (1),광희동2가 (1),묵정동 (2),권농동 (2),안암동3가 (2),입정동 (2),삼각동 (2),예관동 (3),안암동3가 (4),충무로3가 (0)
양화동 (1),송월동 (1),태평로1가 (1),냉천동 (1),청운동 (2),당인동 (2),염곡동 (2),용산동6가 (2),산림동 (2),원남동 (3),보문동5가 (4),남대문로2가 (0)
당인동 (1),합동 (1),산림동 (1),현저동 (1),광희동2가 (2),효자동 (2),산천동 (2),남학동 (2),동소문동3가 (2),인현동1가 (3),문래동1가 (4),입정동 (0)
명륜1가 (1),영등포동1가 (1),보문동3가 (1),용산동3가 (1),남대문로1가 (2),보문동2가 (1),성북동1가 (2),행촌동 (2),봉래동1가 (2),용산동6가 (3),산림동 (4),필동3가 (0)
평동 (1),회현동3가 (1),안암동1가 (1),옥인동 (1),예장동 (1),안암동1가 (1),내곡동 (2),예장동 (2),안암동3가 (2),효자동 (3),회현동3가 (4),서소문동 (0)
율현동 (1),봉래동1가 (1),보문동1가 (1),사간동 (1),예관동 (1),안암동4가 (1),안암동1가 (2),용산동3가 (2),남산동3가 (2),삼선동3가 (3),가회동 (4),남대문로4가 (0)
창성동 (1),남산동3가 (1),보문동6가 (1),운니동 (1),경운동 (1),원서동 (1),의주로1가 (1),예지동 (2),상가동 (2),중학동 (3),견지동 (4),필동1가 (0)
누하동 (1),장교동 (1),동선동5가 (1),동선동5가 (1),만리동1가 (1),상왕십리동 (1),안암동2가 (1),충정로1가 (2),입정동 (2),마포동 (3),충정로1가 (4),중림동 (0)
견지동 (1),산림동 (1),송월동 (1),보문동6가 (1),권농동 (1),항동 (1),봉래동1가 (1),삼각동 (2),창성동 (2),원서동 (2),개화동 (4),남창동 (0)
중학동 (1),예관동 (1),모진동 (1),예지동 (1),의주로1가 (1),하중동 (1),인현동1가 (1),인현동2가 (2),개화동 (2),안암동4가 (2),양평동6가 (4),상봉동 (0)
천왕동 (1),봉래동2가 (1),중학동 (1),신교동 (1),충정로1가 (1),동소문동3가 (1),산림동 (1),옥천동 (2),양화동 (2),상가동동 (2),행촌동 (4),자곡동 (0)
보문동3가 (0),회현동2가 (1),도원동 (1),내곡동 (1),공평동 (1),행촌동 (1),광희동2가 (1),신영동 (2),현석동 (2),평동 (2),신교동 (4),개화동 (0)
동소문동6가 (0),신창동 (1),용산동1가 (1),행촌동 (1),만리동2가 (1),을지로7가 (1),삼각동 (1),운니동 (2),토정동 (2),예지동 (2),남대문로1가 (4),과해동 (0)
안암동2가 (0),청암동 (1),염곡동 (1),안암동2가 (1),양평동6가 (1),의주로1가 (1),회현동3가 (1),창성동 (2),청운동 (2),장충동1가 (2),산천동 (4),외발산동 (0)
보문동1가 (0),과해동 (1),평동 (1),경운동 (1),남대문로4가 (1),용산동4가 (1),입정동 (1),신창동 (2),원효로4가 (2),을지로4가 (2),창성동 (4),가양동 (0)
보문동2가 (0),자곡동 (1),옥천동 (1),신창동 (1),신교동 (1),장교동 (1),동소문동1가 (1),현저동 (2),원서동 (2),외발산동 (2),도원동 (4),내발산동 (0)
행촌동 (0),동작동 (1),필운동 (1),안암동3가 (1),옥인동 (1),예관동 (1),보문동6가 (1),천연동 (2),현저동 (2),신창동 (2),동작동 (4),염창동 (0)
통인동 (0),수하동 (1),현저동 (1),용산동6가 (1),교남동 (1),신창동 (1),누상동 (1),안암동4가 (2),봉익동 (2),도원동 (2),을지로5가 (3),화곡동 (0)
용산동1가 (0),하중동 (1),소격동 (1),토정동 (1),당인동 (1),도원동 (1),용산동4가 (1),현석동 (2),옥천동 (2),공평동 (2),입정동 (3),방화동 (0)
개화동 (0),누상동 (1),권농동 (1),상왕십리동 (0),토정동 (1),방산동 (1),문래동4가 (1),장사동 (2),교북동 (1),산천동 (2),옥천동 (3),등촌동 (0)
오쇠동 (0),중학동 (1),하중동 (1),보문동3가 (0),현석동 (1),문래동5가 (1),사간동 (1),보문동6가 (1),동소문동7가 (1),양화동 (2),신창동 (3),마곡동 (0)
을지로5가 (0),운니동 (1),토정동 (1),남대문로2가 (0),신촌동 (1),을지로5가 (1),청암동 (1),산림동 (1),외발산동 (1),신교동 (2),팔판동 (3),율현동 (0)
청암동 (0),입정동 (0),남대문로1가 (1),상가동 (0),송현동 (1),창성동 (1),원지동 (1),안암동2가 (1),동작동 (1),용산동5가 (2),안암동2가 (3),미아동 (0)
용산동5가 (0),보문동3가 (0),용산동4가 (1),원서동 (0),용산동1가 (1),중학동 (1),장사동 (1),도원동 (1),공평동 (1),당인동 (2),홍파동 (3),압구정동 (0)
신창동 (0),주자동 (0),서빙고동 (0),용산동1가 (0),안암동3가 (1),청운동 (1),용산동5가 (1),주자동 (1),양평동6가 (1),동소문동3가 (2),무악동 (3),일원동 (0)
서빙고동 (0),현석동 (0),입정동 (0),양평동 (0),안암동4가 (1),염곡동 (1),도원동 (1),안암동3가 (1),만리동1가 (1),봉익동 (1),합동 (3),수서동 (0)
용산동6가 (0),토정동 (0),자곡동 (0),자곡동 (0),궁정동 (1),원남동 (1),신창동 (1),용산동4가 (1),보문동6가 (1),교북동 (1),남학동 (2),세곡동 (0)
방산동 (0),용산동4가 (0),회현동3가 (0),의주로2가 (0),옥천동 (1),예장동 (0),서빙고동 (1),저동1가 (1),궁정동 (1),현저동 (1),남산동3가 (2),개포동 (0)
양평동 (0),의주로2가 (0),신창동 (0),오쇠동 (0),동작동 (1),입정동 (0),용산동1가 (1),만리동2가 (1),주자동 (1),보문동3가 (1),광희동2가 (2),도곡동 (0)
주자동 (0),양평동6가 (0),회현동2가 (0),모진동 (0),보문동3가 (0),용산동3가 (0),권농동 (1),항동 (1),산천동 (1),방산동 (1),안암동4가 (2),대치동 (0)
용산동4가 (0),방산동 (0),청암동 (0),주자동 (0),보문동6가 (0),만리동1가 (0),용산동3가 (1),내곡동 (1),청암동 (1),용산동1가 (1),의주로1가 (2),청담동 (0)
의주로2가 (0),모진동 (0),주자동 (0),항동 (0),홍파동 (0),만리동2가 (0),천연동 (1),개화동 (1),남학동 (1),서빙고동 (1),현저동 (2),논현동 (0)
모진동 (0),당인동 (0),사간동 (0),천왕동 (0),봉원동 (0),모진동 (0),마포동 (1),양평동6가 (1),예장동 (1),옥천동 (1),항동 (2),삼성동 (0)
