2007~2008,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
거여동 (-57.895),숭인동 (-36.538),구산동 (-44.444),영등포동2가 (-36.842),서린동 (-40.0),가회동 (-46.667),당주동 (-21.429),역촌동 (-43.558),묘동 (-18.182),수유동 (-22.222),구산동 (-61.404)
둔촌동 (-58.824),문래동1가 (-38.0),견지동 (-44.444),종로3가 (-38.235),낙원동 (-40.0),도선동 (-47.059),영등포동5가 (-21.429),안국동 (-45.833),당산동3가 (-21.127),면목동 (-22.222),익선동 (-61.538)
혜화동 (-60.0),영등포동6가 (-41.667),공평동 (-44.444),외발산동 (-40.0),문래동4가 (-44.578),일원동 (-50.0),nan (-25.0),내수동 (-46.154),삼성동 (-22.222),소격동 (-22.599),고덕동 (-62.857)
등촌동 (-60.0),과해동 (-50.0),문정동 (-48.837),망우동 (-41.667),익선동 (-45.455),둔촌동 (-60.0),마곡동 (-25.0),과해동 (-50.0),통의동 (-22.727),영등포동3가 (-23.077),신내동 (-63.636)
면목동 (-62.5),미아동 (-50.0),당산동 (-50.0),누하동 (-46.429),영등포동6가 (-50.0),방화동 (-60.0),천호동 (-26.316),양평동4가 (-55.556),와룡동 (-23.81),명륜2가 (-25.641),안국동 (-65.217)
선유동 (-62.5),재동 (-51.852),문래동5가 (-50.0),묘동 (-50.0),개화동 (-50.0),개화동 (-66.667),면목동 (-33.333),삼청동 (-66.667),미아동 (-25.0),봉천동 (-28.571),선유동 (-71.429)
가양동 (-66.667),원서동 (-52.941),관철동 (-50.704),신영동 (-50.0),염창동 (-55.556),당산동 (-69.231),구기동 (-40.0),당산동4가 (-68.0),양평동4가 (-25.0),등촌동 (-31.25),가양동 (-75.0)
삼청동 (-66.667),명륜1가 (-53.846),마곡동 (-57.143),원서동 (-55.0),삼성동 (-70.0),당산동2가 (-71.429),신내동 (-50.0),남현동 (-69.231),장지동 (-28.571),종로5가 (-33.333),망우동 (-76.471)
문래동5가 (-68.421),양평동6가 (-64.286),화곡동 (-61.538),남현동 (-57.143),망우동 (-71.429),장지동 (-80.0),봉천동 (-57.143),화곡동 (-71.429),영등포동6가 (-45.0),외발산동 (-42.857),내수동 (-80.952)
신내동 (-71.429),익선동 (-64.286),낙원동 (-66.667),논현동 (-75.0),구기동 (-83.333),묘동 (-83.333),율현동 (-62.5),가양동 (-75.0),염창동 (-50.0),양화동 (-44.828),묘동 (-82.353)
낙원동 (-85.714),봉천동 (-66.667),영등포동6가 (-85.714),당산동2가 (-92.308),수유동 (-87.5),양평동4가 (-83.333),낙원동 (-70.0),수서동 (-80.0),신영동 (-66.667),nan (-45.161),공평동 (-92.857)
신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan),신대방동 (nan)
을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan),을지로2가 (nan)
남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan),남산동1가 (nan)
신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan),신당동 (nan)
충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan),충무로5가 (nan)
을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan),을지로6가 (nan)
충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan),충무로1가 (nan)
소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan),소공동 (nan)
수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan),수하동 (nan)
주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan),주교동 (nan)
남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan),남창동 (nan)
무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan),무학동 (nan)
중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan),중림동 (nan)
명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan),명동2가 (nan)
북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan),북창동 (nan)
쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan),쌍림동 (nan)
초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan),초동 (nan)
충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan),충무로2가 (nan)
수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan),수표동 (nan)
충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan),충무로4가 (nan)
남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan),남대문로5가 (nan)
장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan),장충동2가 (nan)
태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan),태평로1가 (nan)
순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan),순화동 (nan)
남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan),남산동2가 (nan)
