,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
310,소격동 (7),종로6가 (12),교북동 (15),교남동 (18),도렴동 (23),을지로3가 (26),주교동 (30),마포동 (33),무악동 (40),수하동 (46),명륜1가 (57),삼선동1가 (58)
311,주교동 (7),동소문동3가 (12),교남동 (15),효창동 (18),장지동 (23),체부동 (26),도렴동 (30),삼선동1가 (33),보문동7가 (39),삼선동4가 (46),안국동 (56),본동 (58)
312,필동2가 (7),동소문동4가 (11),연지동 (14),태평로1가 (18),과해동 (22),남산동2가 (26),장지동 (29),주교동 (33),안국동 (39),문래동1가 (46),동선동4가 (56),소격동 (57)
313,후암동 (7),무악동 (11),만리동2가 (14),보문동2가 (18),삼선동1가 (22),저동2가 (26),내곡동 (29),원지동 (32),중동 (39),동선동4가 (46),수표동 (54),명륜1가 (57)
314,종로6가 (7),원효로2가 (11),신문로2가 (14),초동 (18),계동 (22),계동 (26),저동2가 (29),충무로5가 (32),본동 (39),동소문동6가 (45),누하동 (54),문래동1가 (56)
315,돈의동 (7),교북동 (11),구수동 (14),정동 (18),을지로3가 (22),무학동 (26),충무로5가 (28),삼선동4가 (32),효창동 (39),홍지동 (45),수하동 (54),안국동 (56)
316,무교동 (7),옥천동 (11),재동 (14),동소문동6가 (18),인현동2가 (22),장지동 (25),삼선동4가 (28),보문동1가 (32),사근동 (39),본동 (44),본동 (52),영천동 (55)
317,항동 (7),남산동2가 (11),동선동5가 (13),세곡동 (17),서린동 (21),신영동 (25),응봉동 (28),도렴동 (32),동소문동6가 (38),오장동 (44),주교동 (51),성북동1가 (54)
318,관수동 (7),갈월동 (11),양평동6가 (13),을지로1가 (17),저동2가 (21),도렴동 (25),원효로3가 (28),익선동 (32),삼선동1가 (37),도렴동 (43),영천동 (51),누하동 (54)
319,한강로1가 (7),신문로2가 (10),동소문동1가 (13),신영동 (17),신영동 (21),필동1가 (25),무학동 (27),홍지동 (31),신원동 (37),효창동 (43),효창동 (50),중동 (54)
320,진관동 (7),연지동 (10),통의동 (13),주교동 (17),을지로1가 (21),구수동 (24),인현동2가 (27),소격동 (31),오장동 (37),영천동 (43),무학동 (50),수표동 (54)
