area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
목동,815.0,852.0,907.0,979.0,1037.0,1043.0,1147.0,1254.0,1367.0,1492.0,1719.0,2020.0
신월동,604.0,625.0,623.0,654.0,714.0,736.0,785.0,868.0,957.0,1049.0,1167.0,1371.0
공항동,197.0,214.0,243.0,252.0,265.0,244.0,258.0,273.0,289.0,313.0,357.0,357.0
문래동2가,46.0,44.0,42.0,46.0,46.0,47.0,50.0,60.0,62.0,69.0,81.0,104.0
대림동,545.0,579.0,535.0,542.0,540.0,553.0,616.0,703.0,797.0,939.0,1123.0,1297.0
양평동3가,37.0,44.0,43.0,46.0,48.0,48.0,52.0,61.0,66.0,76.0,115.0,135.0
양평동4가,82.0,87.0,86.0,111.0,110.0,135.0,150.0,177.0,194.0,229.0,277.0,313.0
여의도동,777.0,829.0,827.0,918.0,942.0,1066.0,1188.0,1348.0,1499.0,1845.0,2234.0,2580.0
영등포동,134.0,139.0,133.0,146.0,149.0,156.0,165.0,184.0,194.0,240.0,270.0,302.0
영등포동4가,115.0,94.0,121.0,144.0,150.0,168.0,189.0,212.0,225.0,256.0,288.0,342.0
당산동1가,98.0,106.0,91.0,96.0,98.0,109.0,121.0,141.0,155.0,161.0,172.0,190.0
문래동3가,97.0,130.0,129.0,162.0,172.0,192.0,217.0,246.0,286.0,326.0,385.0,460.0
영등포동7가,107.0,108.0,75.0,83.0,78.0,86.0,77.0,72.0,82.0,92.0,100.0,117.0
신길동,630.0,661.0,626.0,686.0,709.0,753.0,791.0,858.0,941.0,1019.0,1140.0,1260.0
당산동4가,60.0,60.0,41.0,39.0,46.0,49.0,59.0,74.0,102.0,119.0,134.0,160.0
영등포동3가,163.0,173.0,163.0,186.0,204.0,228.0,239.0,279.0,306.0,339.0,375.0,418.0
문래동6가,29.0,27.0,26.0,28.0,28.0,31.0,33.0,43.0,58.0,65.0,71.0,77.0
도림동,151.0,152.0,135.0,134.0,129.0,121.0,128.0,138.0,145.0,162.0,188.0,207.0
양평동5가,17.0,22.0,22.0,25.0,27.0,36.0,41.0,57.0,65.0,73.0,85.0,93.0
양평동1가,92.0,107.0,106.0,98.0,93.0,96.0,95.0,104.0,119.0,135.0,157.0,179.0
당산동3가,113.0,130.0,128.0,132.0,156.0,184.0,198.0,235.0,261.0,318.0,362.0,427.0
영등포동5가,95.0,90.0,65.0,62.0,68.0,77.0,75.0,80.0,91.0,98.0,115.0,131.0
양화동,3.0,3.0,1.0,2.0,2.0,3.0,5.0,6.0,5.0,5.0,14.0,18.0
영등포동1가,23.0,22.0,18.0,20.0,20.0,21.0,23.0,22.0,28.0,33.0,39.0,46.0
당산동5가,41.0,47.0,44.0,52.0,52.0,68.0,80.0,92.0,100.0,115.0,121.0,143.0
영등포동8가,41.0,46.0,39.0,44.0,46.0,42.0,52.0,59.0,65.0,72.0,86.0,97.0
양평동6가,16.0,15.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0,17.0,20.0,20.0
문래동1가,28.0,28.0,29.0,32.0,33.0,32.0,35.0,37.0,45.0,46.0,48.0,56.0
양평동2가,47.0,46.0,43.0,50.0,57.0,63.0,64.0,66.0,71.0,88.0,111.0,142.0
문래동4가,35.0,36.0,34.0,34.0,34.0,37.0,36.0,38.0,45.0,51.0,65.0,68.0
문래동5가,11.0,9.0,8.0,10.0,12.0,12.0,15.0,18.0,21.0,28.0,37.0,44.0
당산동6가,70.0,68.0,62.0,70.0,91.0,94.0,111.0,117.0,117.0,150.0,169.0,200.0
당산동2가,47.0,50.0,55.0,55.0,55.0,62.0,71.0,73.0,81.0,101.0,109.0,124.0
영등포동2가,119.0,114.0,99.0,102.0,107.0,114.0,111.0,112.0,116.0,117.0,118.0,137.0
당산동,38.0,43.0,31.0,28.0,29.0,34.0,43.0,43.0,50.0,53.0,58.0,59.0
영등포동6가,69.0,68.0,58.0,59.0,53.0,58.0,66.0,63.0,67.0,80.0,88.0,98.0
양평동,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
신내동,41.0,66.0,101.0,117.0,144.0,149.0,168.0,217.0,268.0,327.0,398.0,398.0
중화동,65.0,89.0,133.0,156.0,195.0,218.0,226.0,276.0,322.0,403.0,493.0,493.0
면목동,197.0,311.0,412.0,518.0,596.0,692.0,779.0,922.0,1082.0,1251.0,1507.0,1507.0
망우동,66.0,98.0,143.0,189.0,227.0,253.0,272.0,337.0,400.0,472.0,539.0,539.0
묵동,37.0,71.0,99.0,126.0,172.0,230.0,238.0,280.0,327.0,402.0,469.0,469.0
상봉동,74.0,114.0,154.0,183.0,235.0,265.0,320.0,384.0,454.0,537.0,650.0,650.0
삼성동,488.0,640.0,769.0,928.0,1102.0,1106.0,1150.0,1275.0,1394.0,1530.0,1640.0,1640.0
논현동,564.0,790.0,1025.0,1190.0,1276.0,1411.0,1556.0,1734.0,1921.0,2029.0,2164.0,2164.0
청담동,323.0,415.0,522.0,631.0,709.0,745.0,811.0,870.0,863.0,952.0,1033.0,1033.0
대치동,571.0,710.0,883.0,1030.0,1154.0,1322.0,1385.0,1525.0,1631.0,1659.0,1697.0,1697.0
도곡동,229.0,280.0,320.0,358.0,402.0,465.0,526.0,570.0,590.0,598.0,611.0,611.0
개포동,238.0,279.0,334.0,363.0,350.0,419.0,450.0,477.0,468.0,501.0,504.0,504.0
세곡동,6.0,12.0,16.0,17.0,23.0,28.0,35.0,53.0,67.0,69.0,83.0,83.0
수서동,68.0,82.0,83.0,101.0,121.0,145.0,155.0,187.0,191.0,227.0,249.0,249.0
일원동,87.0,119.0,131.0,132.0,160.0,167.0,200.0,233.0,227.0,234.0,244.0,244.0
압구정동,120.0,139.0,139.0,153.0,177.0,182.0,196.0,219.0,258.0,258.0,224.0,224.0
율현동,8.0,7.0,6.0,9.0,12.0,15.0,17.0,20.0,22.0,29.0,32.0,32.0
자곡동,0.0,1.0,1.0,1.0,1.0,4.0,4.0,48.0,74.0,82.0,81.0,81.0
마곡동,29.0,33.0,32.0,28.0,27.0,44.0,37.0,45.0,111.0,259.0,762.0,762.0
등촌동,403.0,475.0,521.0,572.0,540.0,540.0,581.0,657.0,686.0,754.0,903.0,903.0
방화동,449.0,519.0,541.0,584.0,661.0,695.0,669.0,736.0,759.0,799.0,828.0,828.0
