GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2004203036644619013000000000,1132010500100190015,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-15,557,1,일반건축물,2,일반건축물대방,다보빌딩,다보빌딩,0,주건축물,503,225.56,1127.8,224.21,44.84,21,철근콘크리트구조,04000,제2종근린생활시설,04000,제2종근린생활시설,2,상업용,16.9,5,0,2003-06-25,2004-09-02,2018-07-06
2002203075344618808700000000,1132010500100190019,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-19,558,1,일반건축물,2,일반건축물대방,쌍문동김가네,,0,주건축물,174,103.97,428.39,246.2,59.75,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,17,5,0,2002-04-15,2002-11-04,2018-07-06
2004203105124618760900000000,1132010500100190020,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-20,4171,2,집합건축물,3,표제부,동일씨티빌아파트,,0,주건축물,694,278.22,2139.71,246.85,40.09,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,22,7,1,2001-12-21,2004-10-29,2018-07-06
2006203091634618974900000000,1132010500100190022,1132010500,서울특별시 도봉구 쌍문동,1,일반,19-22,559,1,일반건축물,2,일반건축물대방,,쌍문동 근린생활시설,0,주건축물,178,95.24,166.33,93.44,53.51,32,경량철골구조,04000,제2종근린생활시설,04402,사무소,2,상업용,7,2,0,2006-03-17,2006-05-26,2018-07-06
1997203000524618233100000000,1132010500100200000,1132010500,서울특별시 도봉구 쌍문동,1,일반,20,4172,2,집합건축물,3,표제부,,,0,주건축물,1654,953.14,9965.8,386.88,57.63,21,철근콘크리트구조,03000,제1종근린생활시설,02001,아파트,1,주거용,33.1,10,3,1995-05-29,1997-03-18,2018-07-06
1999203051064618149600000000,1132010500100200004,1132010500,서울특별시 도봉구 쌍문동,1,일반,20-4,4173,2,집합건축물,3,표제부,쌍문동LG트윈빌2,,0,주건축물,2144,1214.24,9982.58,309.45,56.63,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,35.45,12,2,1997-04-04,1999-06-28,2018-07-06
1989203011664617715200000000,1132010500100200005,1132010500,서울특별시 도봉구 쌍문동,1,일반,20-5,560,1,일반건축물,2,일반건축물대방,,,0,주건축물,613.46,185.35,864.8,118.81,30.21,21,철근콘크리트구조,03000,제1종근린생활시설,03005,의원,2,상업용,0,5,1,,1989-08-14,2018-07-06
2000203042474617820100000000,1132010500100200016,1132010500,서울특별시 도봉구 쌍문동,1,일반,20-16,561,2,집합건축물,3,표제부,,,0,주건축물,430,257.91,999.7,232.49,59.98,31,일반철골구조,03000,제1종근린생활시설,03005,의원,2,상업용,19,5,0,2000-01-31,2000-06-05,2018-07-06
1995203175374617861800000000,1132010500100210005,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-5,562,1,일반건축물,2,일반건축물대방,창동교회,A동,0,주건축물,0,0,2810.75,0,0,21,철근콘크리트구조,06000,종교시설,06101,교회,6,문교사회용,37.2,3,1,1993-10-27,1995-02-27,2018-07-06
2001203209784617492700000000,1132010500100210005,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-5,564,1,일반건축물,2,일반건축물대방,창동교회,E동,0,주건축물,0,419.91,1322.68,0,0,31,일반철골구조,06000,종교시설,06101,교회,6,문교사회용,0,2,1,2000-10-25,2001-07-10,2018-07-06
