area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
충무로5가,2,5,9,13,16,19,28,32,36,42,49,49
을지로6가,23,86,117,115,133,151,195,203,213,269,316,316
충무로1가,31,50,72,83,98,113,131,160,177,190,200,200
소공동,17,33,47,71,85,93,116,146,157,169,195,195
수하동,2,3,5,5,15,18,21,29,29,46,54,54
주교동,7,12,17,17,25,26,30,33,40,48,51,51
남창동,6,23,30,36,48,58,74,83,99,106,128,128
무학동,6,6,11,14,15,26,27,30,35,40,50,50
중림동,30,31,42,48,54,73,87,102,121,155,184,184
명동2가,28,47,75,93,105,119,139,171,189,195,226,226
북창동,10,14,22,28,36,46,65,78,92,101,121,121
쌍림동,5,6,8,10,23,21,34,36,37,39,62,62
초동,3,5,9,18,25,30,37,47,57,69,95,95
충무로2가,13,28,45,51,62,64,78,92,93,109,126,126
수표동,2,6,5,7,9,13,23,29,40,52,54,54
충무로4가,5,14,20,29,44,57,65,78,95,100,103,103
남대문로5가,18,33,56,81,103,108,130,143,169,176,246,246
장충동2가,19,24,32,37,53,60,70,88,97,117,143,143
태평로1가,4,10,11,18,25,27,35,41,68,68,92,92
순화동,14,27,32,31,30,36,41,55,68,76,103,103
남산동2가,10,11,22,24,28,26,26,39,42,55,63,63
무교동,7,18,26,32,40,43,49,60,59,67,82,82
회현동2가,3,4,4,17,20,24,25,28,31,39,41,41
저동2가,9,12,13,16,21,26,29,41,47,56,67,67
필동2가,7,19,29,39,51,57,66,80,88,101,127,127
회현동1가,9,22,25,28,39,44,52,60,78,94,123,123
황학동,25,31,46,65,83,109,129,160,193,202,245,245
인현동1가,6,7,10,9,11,14,14,18,24,26,30,30
다동,16,23,30,34,54,66,75,94,116,135,172,172
태평로2가,10,18,24,29,41,47,56,54,62,85,128,128
을지로3가,3,4,8,13,22,26,37,53,63,77,104,104
명동1가,6,12,21,30,36,38,44,59,67,88,97,97
필동1가,4,7,15,21,24,25,33,39,42,52,62,62
남대문로4가,3,6,8,14,15,17,22,24,30,35,42,42
서소문동,5,20,27,40,50,62,77,91,109,125,144,144
필동3가,4,6,11,18,25,30,37,42,50,57,69,69
입정동,2,2,2,3,6,6,7,8,9,11,14,14
남대문로2가,4,6,6,5,10,8,12,15,17,19,26,26
충무로3가,7,14,27,34,47,59,62,74,82,90,111,111
을지로4가,2,7,8,10,12,16,18,21,24,26,33,33
예관동,4,4,3,5,6,5,7,8,9,11,12,12
오장동,6,7,9,14,16,18,21,27,37,44,50,50
인현동2가,5,6,8,16,22,26,27,29,35,38,44,44
남대문로3가,2,4,5,8,9,12,15,18,22,24,31,31
만리동1가,3,5,6,6,6,6,8,11,11,13,23,23
산림동,3,3,3,4,6,8,9,10,10,13,15,15
저동1가,6,13,13,14,16,18,20,18,19,17,40,40
만리동2가,6,9,14,16,13,9,8,9,5,6,14,14
흥인동,7,17,17,20,20,28,37,38,48,57,84,84
광희동1가,10,14,22,29,46,58,61,71,78,86,95,95
예장동,1,4,6,6,7,6,10,9,10,18,22,22
을지로1가,3,7,10,17,21,30,33,34,40,51,62,62
장교동,5,5,8,8,10,8,14,15,17,17,19,19
장충동1가,4,8,9,12,12,15,17,23,25,26,31,31
정동,4,5,9,18,29,33,42,53,61,67,72,72
남산동3가,1,2,2,3,4,6,7,7,9,11,12,12
묵정동,4,6,4,6,7,8,11,11,11,16,19,19
봉래동1가,3,4,6,13,17,19,19,20,21,23,27,27
충정로1가,1,5,5,5,6,6,8,10,12,13,16,16
회현동3가,1,2,1,2,5,3,4,4,9,11,13,13
개봉동,408,466,485,431,445,464,473,514,582,648,701,804
구로동,1317,1386,1448,1327,1442,1530,1588,1797,2063,2354,2768,3232
천왕동,6,6,7,3,7,15,21,30,31,32,33,33
온수동,52,60,62,58,58,65,68,73,74,86,90,94
신도림동,150,177,187,170,228,236,237,280,321,366,420,493
오류동,242,250,262,231,237,262,262,312,356,392,407,465
고척동,323,342,374,343,366,377,345,399,448,563,640,769
가리봉동,175,176,181,145,157,165,158,182,210,260,295,345
궁동,52,59,65,59,62,60,65,72,80,81,86,101
항동,7,5,6,5,7,8,8,7,4,8,10,13
창동,609,592,608,650,617,615,657,677,770,895,1005,1168
쌍문동,345,329,343,350,315,324,339,373,426,504,586,690
도봉동,383,375,369,374,355,382,394,408,457,532,610,693
방학동,490,505,546,550,507,539,560,577,652,740,831,977
시흥동,806,825,815,843,847,911,800,858,914,972,1102,1292
독산동,885,923,972,1022,1047,1083,981,1097,1107,1165,1303,1553
가산동,327,357,430,495,559,654,718,848,880,1043,1285,1551
자양동,551,552,594,656,691,763,793,894,1056,1211,1354,1649
화양동,284,325,333,369,407,454,532,655,754,901,1059,1255
광장동,99,100,110,122,139,169,189,208,212,232,287,325
중곡동,424,421,451,487,549,590,636,707,765,900,1031,1243
구의동,468,465,510,555,612,659,695,771,872,974,1135,1328
군자동,146,149,153,176,194,205,210,232,276,313,368,429
능동,48,42,48,67,77,88,99,107,119,150,194,227
상계동,923,969,1049,1118,1226,1312,1384,1563,1736,1938,2203,2560
월계동,260,279,305,333,348,365,407,475,508,546,619,704
공릉동,345,365,384,414,466,493,554,634,721,831,940,1123
하계동,117,122,135,156,161,167,175,181,206,224,271,317
중계동,416,433,440,496,519,517,573,628,670,743,843,979
한강로1가,7,19,30,39,47,58,70,75,80,93,112,112
갈월동,12,11,22,30,37,54,59,73,79,93,128,128
청파동2가,10,17,26,43,54,62,75,87,103,131,148,148
한남동,40,86,106,158,208,252,324,396,474,567,741,741
효창동,1,5,12,18,28,32,35,40,39,43,50,50
후암동,7,26,39,58,69,80,94,110,145,165,206,206
