법정동코드,법정동명,2018,2018_bin
1117013300,서울특별시 용산구 서빙고동,,
1117012300,서울특별시 용산구 신계동,14285720.0,2.0
1117011400,서울특별시 용산구 신창동,,
1117012100,서울특별시 용산구 용문동,13518610.0,2.0
1117010600,서울특별시 용산구 용산동1가,,
1117010200,서울특별시 용산구 용산동2가,18787880.0,1.0
1117012600,서울특별시 용산구 용산동3가,,
1117012700,서울특별시 용산구 용산동5가,33296340.0,1.0
1117013500,서울특별시 용산구 용산동6가,,
1117011200,서울특별시 용산구 원효로1가,13603380.0,2.0
1117011300,서울특별시 용산구 원효로2가,12927040.0,2.0
1117011700,서울특별시 용산구 원효로3가,,
1117011800,서울특별시 용산구 원효로4가,,
1117012900,서울특별시 용산구 이촌동,8774584.0,3.0
1117013000,서울특별시 용산구 이태원동,18535310.0,1.0
1117013400,서울특별시 용산구 주성동,,
1117011600,서울특별시 용산구 청암동,5113397.0,4.0
1117010900,서울특별시 용산구 청파동1가,11101460.0,3.0
1117011000,서울특별시 용산구 청파동2가,13949780.0,2.0
1117011100,서울특별시 용산구 청파동3가,12684830.0,2.0
1117012400,서울특별시 용산구 한강로1가,17734100.0,1.0
1117012500,서울특별시 용산구 한강로2가,33451550.0,1.0
1117012800,서울특별시 용산구 한강로3가,22168980.0,1.0
1117013100,서울특별시 용산구 한남동,16704550.0,2.0
1117011900,서울특별시 용산구 효창동,,
1117010100,서울특별시 용산구 후암동,13897580.0,2.0
1138010400,서울특별시 은평구 갈현동,8677904.0,3.0
1138010500,서울특별시 은평구 구산동,11667420.0,3.0
1138010200,서울특별시 은평구 녹번동,11683020.0,3.0
1138010600,서울특별시 은평구 대조동,19328390.0,1.0
1138010300,서울특별시 은평구 불광동,12678570.0,2.0
1138010100,서울특별시 은평구 수색동,6863696.0,4.0
1138010900,서울특별시 은평구 신사동,,
1138010800,서울특별시 은평구 역촌동,7653758.0,4.0
1138010700,서울특별시 은평구 응암동,11998520.0,2.0
1138011000,서울특별시 은평구 증산동,,
1138011400,서울특별시 은평구 진관동,,
1111014600,서울특별시 종로구 가회동,32909930.0,1.0
1111012900,서울특별시 종로구 견지동,,
1111013400,서울특별시 종로구 경운동,9897770.0,3.0
1111014800,서울특별시 종로구 계동,,
1111012700,서울특별시 종로구 공평동,,
1111015500,서울특별시 종로구 관수동,36681128.0,1.0
1111013500,서울특별시 종로구 관철동,40967740.0,1.0
1111012800,서울특별시 종로구 관훈동,18644960.0,1.0
1111017600,서울특별시 종로구 교남동,18498370.0,1.0
1111018000,서울특별시 종로구 교북동,,
1111018200,서울특별시 종로구 구기동,6102414.0,4.0
1111010300,서울특별시 종로구 궁정동,,
1111013100,서울특별시 종로구 권농동,,
1111013700,서울특별시 종로구 낙원동,12273360.0,2.0
1111011800,서울특별시 종로구 내수동,,
1111011400,서울특별시 종로구 내자동,8508163.0,3.0
1111010900,서울특별시 종로구 누상동,,
1111011000,서울특별시 종로구 누하동,12227650.0,2.0
1111011700,서울특별시 종로구 당주동,,
1111011600,서울특별시 종로구 도렴동,,
1111015300,서울특별시 종로구 돈의동,,
1111016800,서울특별시 종로구 동숭동,20229350.0,1.0
1111017000,서울특별시 종로구 명륜1가,,
1111017100,서울특별시 종로구 명륜2가,33347250.0,1.0
1111017300,서울특별시 종로구 명륜3가,5971922.0,4.0
1111017200,서울특별시 종로구 명륜4가,,
1111015100,서울특별시 종로구 묘동,28528830.0,1.0
1111018700,서울특별시 종로구 무악동,,
1111015200,서울특별시 종로구 봉익동,,
1111018400,서울특별시 종로구 부암동,,
1111014400,서울특별시 종로구 사간동,26093400.0,1.0
1111011500,서울특별시 종로구 사직동,,
1111014000,서울특별시 종로구 삼청동,16159590.0,2.0
1111012300,서울특별시 종로구 서린동,,
1111011900,서울특별시 종로구 세종로,,
1111014200,서울특별시 종로구 소격동,,
1111017800,서울특별시 종로구 송월동,,
1111014500,서울특별시 종로구 송현동,,
1111012400,서울특별시 종로구 수송동,,
1111017500,서울특별시 종로구 숭인동,11952400.0,3.0
1111010200,서울특별시 종로구 신교동,,
1111012000,서울특별시 종로구 신문로1가,30205760.0,1.0
1111012100,서울특별시 종로구 신문로2가,11209950.0,3.0
1111018600,서울특별시 종로구 신영동,,
1111014100,서울특별시 종로구 안국동,,
1111016600,서울특별시 종로구 연건동,11887730.0,3.0
1111016000,서울특별시 종로구 연지동,24695650.0,1.0
1111015800,서울특별시 종로구 예지동,15866080.0,2.0
1111011100,서울특별시 종로구 옥인동,10850850.0,3.0
1111013000,서울특별시 종로구 와룡동,22638540.0,1.0
1111013200,서울특별시 종로구 운니동,,
1111015900,서울특별시 종로구 원남동,10509550.0,3.0
1111014900,서울특별시 종로구 원서동,,
1111016500,서울특별시 종로구 이화동,9253411.0,3.0
1111013300,서울특별시 종로구 익선동,17254410.0,2.0
1111013600,서울특별시 종로구 인사동,29003780.0,1.0
1111015700,서울특별시 종로구 인의동,,
1111015400,서울특별시 종로구 장사동,23733630.0,1.0
1111014700,서울특별시 종로구 재동,14590750.0,2.0
1111010700,서울특별시 종로구 적선동,,
1111012600,서울특별시 종로구 종로1가,,
1111013800,서울특별시 종로구 종로2가,151162800.0,1.0
1111015600,서울특별시 종로구 종로3가,60483872.0,1.0
1111016100,서울특별시 종로구 종로4가,37509660.0,1.0
