,class,area,2012,2013,2014,2015,2016,2017,2018
259,성북구,안암동4가,538.0,429.0,615.0,,922.0,636.0,
260,성북구,안암동5가,863.0,1051.0,1220.0,1865.0,917.0,878.0,869.0
261,성북구,보문동4가,,,623.0,,1102.0,1350.0,
262,성북구,보문동5가,696.0,,741.0,663.0,943.0,937.0,
263,성북구,보문동6가,534.0,,573.0,884.0,715.0,,
264,성북구,보문동7가,736.0,770.0,739.0,915.0,761.0,978.0,1213.0
265,성북구,보문동1가,,841.0,685.0,601.0,1397.0,724.0,1530.0
266,성북구,보문동2가,755.0,1470.0,848.0,750.0,1157.0,,
267,성북구,보문동3가,,,,,,,
268,성북구,정릉동,670.0,309.0,441.0,450.0,594.0,580.0,477.0
269,성북구,길음동,1333.0,689.0,845.0,856.0,785.0,1177.0,1956.0
270,성북구,종암동,793.0,836.0,735.0,750.0,575.0,827.0,587.0
271,성북구,하월곡동,460.0,871.0,498.0,547.0,714.0,826.0,609.0
272,성북구,상월곡동,411.0,493.0,639.0,350.0,478.0,552.0,474.0
273,성북구,장위동,337.0,342.0,366.0,408.0,439.0,483.0,539.0
274,성북구,석관동,689.0,496.0,548.0,555.0,547.0,598.0,520.0
275,강북구,미아동,575.0,555.0,591.0,634.0,628.0,689.0,830.0
276,강북구,번동,726.0,569.0,513.0,519.0,634.0,496.0,941.0
277,강북구,수유동,521.0,576.0,550.0,535.0,629.0,658.0,740.0
278,강북구,우이동,470.0,302.0,528.0,567.0,452.0,741.0,870.0
279,도봉구,쌍문동,737.0,461.0,572.0,502.0,483.0,522.0,682.0
280,도봉구,방학동,486.0,499.0,435.0,449.0,429.0,544.0,590.0
281,도봉구,창동,453.0,481.0,491.0,480.0,651.0,618.0,501.0
282,도봉구,도봉동,458.0,368.0,421.0,519.0,488.0,492.0,582.0
283,노원구,월계동,627.0,508.0,784.0,588.0,639.0,727.0,671.0
284,노원구,공릉동,583.0,747.0,626.0,737.0,670.0,694.0,699.0
285,노원구,하계동,389.0,504.0,690.0,561.0,811.0,923.0,447.0
286,노원구,상계동,480.0,570.0,544.0,513.0,565.0,661.0,675.0
287,노원구,중계동,555.0,1616.0,515.0,520.0,663.0,515.0,1683.0
288,은평구,수색동,,913.0,648.0,816.0,468.0,451.0,686.0
289,은평구,녹번동,572.0,563.0,521.0,541.0,664.0,964.0,1168.0
290,은평구,불광동,619.0,568.0,765.0,677.0,754.0,836.0,1267.0
291,은평구,갈현동,345.0,557.0,428.0,514.0,502.0,220.0,867.0
292,은평구,구산동,573.0,405.0,166.0,460.0,576.0,620.0,1166.0
293,은평구,대조동,1161.0,668.0,693.0,710.0,1080.0,900.0,1932.0
294,은평구,응암동,482.0,588.0,572.0,626.0,653.0,858.0,1199.0
295,은평구,역촌동,558.0,640.0,540.0,594.0,634.0,870.0,765.0
296,은평구,신사동,2418.0,1934.0,2000.0,2049.0,2171.0,2322.0,2547.0
297,은평구,증산동,911.0,551.0,518.0,524.0,727.0,593.0,
298,은평구,진관동,,604.0,406.0,211.0,260.0,513.0,
299,서대문구,충정로2가,612.0,2402.0,393.0,572.0,850.0,1191.0,
300,서대문구,충정로3가,710.0,2397.0,,834.0,726.0,900.0,
301,서대문구,합동,,,,,1172.0,,
302,서대문구,미근동,1577.0,413.0,756.0,,4502.0,,1700.0
303,서대문구,냉천동,,,1478.0,1027.0,1112.0,1656.0,
304,서대문구,천연동,514.0,,,,,847.0,692.0
305,서대문구,옥천동,552.0,529.0,528.0,863.0,1102.0,,
