법정동코드,법정동명,2012_bin,2013_bin,2014_bin,2015_bin,2016_bin,2017_bin,2018_bin
1165010600,서울특별시 서초구 잠원동,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1120010900,서울특별시 성동구 금호동1가,,,,,3.0,2.0,3.0
1120011000,서울특별시 성동구 금호동2가,3.0,,4.0,4.0,,2.0,4.0
1120011100,서울특별시 성동구 금호동3가,,4.0,2.0,4.0,3.0,2.0,3.0
1120011200,서울특별시 성동구 금호동4가,3.0,4.0,3.0,2.0,4.0,2.0,
1120010400,서울특별시 성동구 도선동,2.0,1.0,3.0,1.0,1.0,2.0,
1120010500,서울특별시 성동구 마장동,4.0,3.0,4.0,3.0,4.0,4.0,4.0
1120010600,서울특별시 성동구 사근동,4.0,3.0,3.0,3.0,4.0,4.0,
1120010100,서울특별시 성동구 상왕십리동,,,,,2.0,,
1120011400,서울특별시 성동구 성수동1가,3.0,3.0,2.0,2.0,2.0,3.0,3.0
1120011500,서울특별시 성동구 성수동2가,3.0,3.0,3.0,3.0,3.0,3.0,2.0
1120011800,서울특별시 성동구 송정동,4.0,4.0,4.0,4.0,3.0,3.0,
1120011300,서울특별시 성동구 옥수동,4.0,4.0,4.0,4.0,2.0,3.0,
1120012200,서울특별시 성동구 용답동,,4.0,2.0,4.0,3.0,3.0,3.0
1120010800,서울특별시 성동구 응봉동,,,,,,3.0,
1120010200,서울특별시 성동구 하왕십리동,3.0,2.0,2.0,2.0,3.0,2.0,2.0
1120010700,서울특별시 성동구 행당동,4.0,3.0,2.0,2.0,2.0,2.0,3.0
1120010300,서울특별시 성동구 홍익동,4.0,4.0,3.0,3.0,3.0,3.0,3.0
1129013400,서울특별시 성북구 길음동,1.0,3.0,2.0,3.0,3.0,2.0,1.0
1129010300,서울특별시 성북구 돈암동,3.0,2.0,,,,2.0,
1129011600,서울특별시 성북구 동선동1가,1.0,2.0,1.0,1.0,2.0,2.0,2.0
1129011700,서울특별시 성북구 동선동2가,2.0,2.0,3.0,,3.0,2.0,
1129011800,서울특별시 성북구 동선동3가,,2.0,3.0,4.0,4.0,4.0,3.0
1129011900,서울특별시 성북구 동선동4가,3.0,2.0,3.0,2.0,1.0,2.0,4.0
1129012000,서울특별시 성북구 동선동5가,4.0,2.0,4.0,3.0,,4.0,
1129010400,서울특별시 성북구 동소문동1가,2.0,3.0,1.0,3.0,3.0,2.0,
1129010500,서울특별시 성북구 동소문동2가,2.0,3.0,2.0,3.0,3.0,2.0,2.0
1129010600,서울특별시 성북구 동소문동3가,,2.0,4.0,2.0,4.0,,
1129010700,서울특별시 성북구 동소문동4가,,,3.0,3.0,3.0,3.0,3.0
1129010800,서울특별시 성북구 동소문동5가,2.0,2.0,2.0,1.0,3.0,2.0,3.0
1129010900,서울특별시 성북구 동소문동6가,3.0,,1.0,1.0,2.0,4.0,
1129011000,서울특별시 성북구 동소문동7가,,,3.0,,,,
1129013000,서울특별시 성북구 보문동1가,,2.0,3.0,4.0,1.0,4.0,2.0
1129013100,서울특별시 성북구 보문동2가,3.0,1.0,2.0,3.0,2.0,,
1129013200,서울특별시 성북구 보문동3가,,,,,,,
1129012600,서울특별시 성북구 보문동4가,,,3.0,,2.0,2.0,
1129012700,서울특별시 성북구 보문동5가,3.0,,3.0,3.0,2.0,3.0,
1129012800,서울특별시 성북구 보문동6가,4.0,,4.0,2.0,3.0,,
1129012900,서울특별시 성북구 보문동7가,3.0,3.0,3.0,2.0,3.0,3.0,2.0
1129011100,서울특별시 성북구 삼선동1가,3.0,4.0,,,4.0,3.0,3.0
1129011200,서울특별시 성북구 삼선동2가,,,2.0,4.0,4.0,3.0,
1129011300,서울특별시 성북구 삼선동3가,2.0,,2.0,,,,
1129011400,서울특별시 성북구 삼선동4가,,3.0,3.0,2.0,2.0,3.0,
1129011500,서울특별시 성북구 삼선동5가,3.0,3.0,3.0,2.0,3.0,2.0,
1129013700,서울특별시 성북구 상월곡동,4.0,4.0,3.0,4.0,4.0,4.0,4.0
1129013900,서울특별시 성북구 석관동,3.0,4.0,4.0,4.0,4.0,4.0,4.0
1129010100,서울특별시 성북구 성북동,3.0,2.0,3.0,3.0,3.0,3.0,4.0
1129010200,서울특별시 성북구 성북동1가,,,,,,,
1129012100,서울특별시 성북구 안암동1가,2.0,2.0,,,3.0,2.0,
1129012200,서울특별시 성북구 안암동2가,3.0,3.0,3.0,3.0,2.0,3.0,
1129012300,서울특별시 성북구 안암동3가,,4.0,,4.0,3.0,,
1129012400,서울특별시 성북구 안암동4가,4.0,4.0,4.0,,3.0,4.0,
1129012500,서울특별시 성북구 안암동5가,2.0,2.0,2.0,1.0,3.0,3.0,3.0
1129013800,서울특별시 성북구 장위동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1129013300,서울특별시 성북구 정릉동,3.0,4.0,4.0,4.0,4.0,4.0,4.0
1129013500,서울특별시 성북구 종암동,3.0,2.0,3.0,3.0,4.0,3.0,4.0
1129013600,서울특별시 성북구 하월곡동,4.0,2.0,4.0,4.0,3.0,3.0,4.0
1171010700,서울특별시 송파구 가락동,2.0,2.0,2.0,3.0,3.0,3.0,2.0
1171011300,서울특별시 송파구 거여동,2.0,2.0,2.0,3.0,4.0,3.0,1.0
1171011400,서울특별시 송파구 마천동,3.0,4.0,3.0,3.0,4.0,4.0,3.0
1171010800,서울특별시 송파구 문정동,3.0,3.0,2.0,3.0,3.0,2.0,2.0
1171011100,서울특별시 송파구 방이동,2.0,3.0,1.0,2.0,2.0,1.0,1.0
1171010600,서울특별시 송파구 삼전동,3.0,2.0,2.0,2.0,2.0,2.0,2.0
1171010500,서울특별시 송파구 석촌동,3.0,3.0,2.0,2.0,2.0,2.0,2.0
1171010400,서울특별시 송파구 송파동,2.0,2.0,2.0,2.0,2.0,3.0,2.0
1171010200,서울특별시 송파구 신천동,1.0,,,,,,
1171011200,서울특별시 송파구 오금동,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1171010100,서울특별시 송파구 잠실동,1.0,2.0,2.0,1.0,1.0,1.0,2.0
1171010900,서울특별시 송파구 장지동,,3.0,,,,,
1171010300,서울특별시 송파구 풍납동,4.0,4.0,2.0,3.0,3.0,4.0,3.0
1147010200,서울특별시 양천구 목동,3.0,3.0,3.0,3.0,3.0,4.0,3.0
1147010300,서울특별시 양천구 신월동,4.0,4.0,4.0,4.0,4.0,4.0,4.0
