,법정동명,법정동코드
417,서울특별시 중구 신당동,1114016200
418,서울특별시 중구 쌍림동,1114014700
419,서울특별시 중구 예관동,1114013500
420,서울특별시 중구 예장동,1114014200
421,서울특별시 중구 오장동,1114015400
422,서울특별시 중구 을지로1가,1114010400
423,서울특별시 중구 을지로2가,1114010500
424,서울특별시 중구 을지로3가,1114015500
425,서울특별시 중구 을지로4가,1114015000
426,서울특별시 중구 을지로5가,1114015100
427,서울특별시 중구 을지로6가,1114014800
428,서울특별시 중구 을지로7가,1114014900
429,서울특별시 중구 의주로1가,1114016900
430,서울특별시 중구 의주로2가,1114017200
431,서울특별시 중구 인현동1가,1114016000
432,서울특별시 중구 인현동2가,1114013400
433,서울특별시 중구 입정동,1114015600
434,서울특별시 중구 장교동,1114010900
435,서울특별시 중구 장충동1가,1114014300
436,서울특별시 중구 장충동2가,1114014400
437,서울특별시 중구 저동1가,1114013100
438,서울특별시 중구 저동2가,1114016100
439,서울특별시 중구 정동,1114016700
440,서울특별시 중구 주교동,1114015200
441,서울특별시 중구 주자동,1114014100
442,서울특별시 중구 중림동,1114017100
443,서울특별시 중구 초동,1114015900
444,서울특별시 중구 충무로1가,1114012400
445,서울특별시 중구 충무로2가,1114012500
446,서울특별시 중구 충무로3가,1114015800
447,서울특별시 중구 충무로4가,1114013200
448,서울특별시 중구 충무로5가,1114013300
449,서울특별시 중구 충정로1가,1114017000
450,서울특별시 중구 태평로1가,1114010300
451,서울특별시 중구 태평로2가,1114011400
452,서울특별시 중구 필동1가,1114013700
453,서울특별시 중구 필동2가,1114013800
454,서울특별시 중구 필동3가,1114013900
455,서울특별시 중구 황학동,1114016500
456,서울특별시 중구 회현동1가,1114012100
457,서울특별시 중구 회현동2가,1114012200
458,서울특별시 중구 회현동3가,1114012300
459,서울특별시 중구 흥인동,1114016300
460,서울특별시 중랑구 망우동,1126010500
461,서울특별시 중랑구 면목동,1126010100
462,서울특별시 중랑구 묵동,1126010400
463,서울특별시 중랑구 상봉동,1126010200
464,서울특별시 중랑구 신내동,1126010600
465,서울특별시 중랑구 중화동,1126010300
