,법정동코드,법정동명,2018,price_bin
266,1168010400,청담동,2799.0,1
267,1168010500,삼성동,2699.0,1
268,1168010600,대치동,2340.0,1
269,1168010700,신사동,2547.0,1
270,1138010900,신사동,2547.0,1
271,1168010800,논현동,825.0,3
272,1168011000,압구정동,3530.0,1
273,1168011500,수서동,2150.0,1
274,1168011800,도곡동,1661.0,2
275,1171010100,잠실동,1545.0,2
276,1171010200,신천동,284.0,4
277,1171010300,풍납동,852.0,3
278,1171010400,송파동,1509.0,2
279,1171010500,석촌동,1305.0,2
280,1171010600,삼전동,1609.0,2
281,1171010700,가락동,1218.0,2
282,1171010800,문정동,1290.0,2
283,1171010900,장지동,281.0,4
284,1171011100,방이동,1886.0,1
285,1171011200,오금동,856.0,3
286,1171011300,거여동,2032.0,1
287,1171011400,마천동,929.0,3
288,1174010100,명일동,1096.0,3
289,1174010500,길동,1250.0,2
290,1174010600,둔촌동,1086.0,3
291,1174010700,암사동,719.0,4
292,1174010800,성내동,1047.0,3
293,1174010900,천호동,929.0,3
294,1174011000,강일동,454.0,4
