,법정동코드,법정동명,2012~2013_bin,2013~2014_bin,2014~2015_bin,2015~2016_bin,2016~2017_bin,2017~2018_bin
175,1129010800,서울특별시 성북구 동소문동5가,2.0,3.0,1.0,4.0,2.0,3.0
176,1129010900,서울특별시 성북구 동소문동6가,,,4.0,4.0,4.0,
177,1129011000,서울특별시 성북구 동소문동7가,,,,,,
178,1129013000,서울특별시 성북구 보문동1가,,4.0,4.0,1.0,4.0,1.0
179,1129013100,서울특별시 성북구 보문동2가,1.0,4.0,4.0,1.0,,
180,1129013200,서울특별시 성북구 보문동3가,,,,,,
181,1129012600,서울특별시 성북구 보문동4가,,,,,2.0,
182,1129012700,서울특별시 성북구 보문동5가,,,4.0,1.0,3.0,
183,1129012800,서울특별시 성북구 보문동6가,,,1.0,4.0,,
184,1129012900,서울특별시 성북구 보문동7가,2.0,3.0,2.0,4.0,1.0,2.0
185,1129011100,서울특별시 성북구 삼선동1가,4.0,,,,1.0,3.0
186,1129011200,서울특별시 성북구 삼선동2가,,,4.0,3.0,1.0,
187,1129011300,서울특별시 성북구 삼선동3가,,,,,,
188,1129011400,서울특별시 성북구 삼선동4가,,2.0,2.0,2.0,3.0,
189,1129011500,서울특별시 성북구 삼선동5가,3.0,2.0,2.0,3.0,1.0,
190,1129013700,서울특별시 성북구 상월곡동,1.0,1.0,4.0,1.0,2.0,4.0
191,1129013900,서울특별시 성북구 석관동,4.0,2.0,3.0,3.0,3.0,4.0
192,1129010100,서울특별시 성북구 성북동,1.0,3.0,3.0,3.0,2.0,4.0
193,1129010200,서울특별시 성북구 성북동1가,,,,,,
194,1129012100,서울특별시 성북구 안암동1가,3.0,,,,1.0,
195,1129012200,서울특별시 성북구 안암동2가,2.0,3.0,4.0,1.0,3.0,
196,1129012300,서울특별시 성북구 안암동3가,,,,2.0,,
197,1129012400,서울특별시 성북구 안암동4가,4.0,1.0,,,4.0,
198,1129012500,서울특별시 성북구 안암동5가,1.0,2.0,1.0,4.0,3.0,3.0
199,1129013800,서울특별시 성북구 장위동,2.0,2.0,2.0,3.0,2.0,3.0
200,1129013300,서울특별시 성북구 정릉동,4.0,1.0,3.0,1.0,3.0,4.0
201,1129013500,서울특별시 성북구 종암동,2.0,3.0,3.0,4.0,1.0,4.0
202,1129013600,서울특별시 성북구 하월곡동,1.0,4.0,2.0,1.0,2.0,4.0
203,1171010700,서울특별시 송파구 가락동,3.0,2.0,3.0,3.0,2.0,2.0
204,1171011300,서울특별시 송파구 거여동,2.0,1.0,4.0,3.0,2.0,1.0
205,1171011400,서울특별시 송파구 마천동,4.0,1.0,2.0,3.0,2.0,2.0
206,1171010800,서울특별시 송파구 문정동,2.0,2.0,3.0,2.0,2.0,2.0
207,1171011100,서울특별시 송파구 방이동,3.0,1.0,3.0,3.0,1.0,3.0
208,1171010600,서울특별시 송파구 삼전동,1.0,3.0,4.0,3.0,2.0,2.0
209,1171010500,서울특별시 송파구 석촌동,2.0,2.0,2.0,3.0,3.0,2.0
210,1171010400,서울특별시 송파구 송파동,2.0,3.0,4.0,2.0,4.0,1.0
211,1171010200,서울특별시 송파구 신천동,,,,,,
212,1171011200,서울특별시 송파구 오금동,3.0,2.0,2.0,3.0,3.0,3.0
213,1171010100,서울특별시 송파구 잠실동,4.0,2.0,1.0,4.0,2.0,3.0
214,1171010900,서울특별시 송파구 장지동,,,,,,
215,1171010300,서울특별시 송파구 풍납동,1.0,1.0,4.0,3.0,3.0,2.0
216,1147010200,서울특별시 양천구 목동,1.0,3.0,3.0,2.0,3.0,2.0
217,1147010300,서울특별시 양천구 신월동,2.0,3.0,2.0,3.0,3.0,1.0
218,1147010100,서울특별시 양천구 신정동,3.0,2.0,2.0,2.0,3.0,1.0
219,1156011700,서울특별시 영등포구 당산동,2.0,3.0,3.0,1.0,3.0,4.0
220,1156011100,서울특별시 영등포구 당산동1가,,,,,,
221,1156011200,서울특별시 영등포구 당산동2가,,,,,,
222,1156011300,서울특별시 영등포구 당산동3가,,,,,,
223,1156011400,서울특별시 영등포구 당산동4가,,,,,,
224,1156011500,서울특별시 영등포구 당산동5가,,,,,,
225,1156011600,서울특별시 영등포구 당산동6가,,,,,,
226,1156013300,서울특별시 영등포구 대림동,1.0,3.0,3.0,2.0,2.0,1.0
227,1156011800,서울특별시 영등포구 도림동,2.0,4.0,1.0,4.0,2.0,
228,1156011900,서울특별시 영등포구 문래동1가,,2.0,2.0,4.0,4.0,2.0
229,1156012000,서울특별시 영등포구 문래동2가,,,4.0,2.0,2.0,3.0
230,1156012100,서울특별시 영등포구 문래동3가,3.0,4.0,1.0,3.0,2.0,2.0
231,1156012200,서울특별시 영등포구 문래동4가,3.0,3.0,2.0,3.0,3.0,2.0
232,1156012300,서울특별시 영등포구 문래동5가,,,1.0,4.0,,
233,1156012400,서울특별시 영등포구 문래동6가,,,,,,
234,1156013200,서울특별시 영등포구 신길동,1.0,3.0,4.0,2.0,2.0,3.0
235,1156013400,서울특별시 영등포구 양평동,4.0,1.0,4.0,2.0,3.0,2.0
236,1156012500,서울특별시 영등포구 양평동1가,,,,,,
237,1156012600,서울특별시 영등포구 양평동2가,,,,,,
238,1156012700,서울특별시 영등포구 양평동3가,,,,,,
239,1156012800,서울특별시 영등포구 양평동4가,,,,,,
240,1156012900,서울특별시 영등포구 양평동5가,,,,,,
241,1156013000,서울특별시 영등포구 양평동6가,,,,,,
242,1156013100,서울특별시 영등포구 양화동,,,,,,
243,1156011000,서울특별시 영등포구 여의도동,4.0,2.0,1.0,4.0,3.0,1.0
244,1156010100,서울특별시 영등포구 영등포동,3.0,3.0,3.0,2.0,3.0,2.0
245,1156010200,서울특별시 영등포구 영등포동1가,,,,,,
246,1156010300,서울특별시 영등포구 영등포동2가,,,,,,
247,1156010400,서울특별시 영등포구 영등포동3가,,,,,,
248,1156010500,서울특별시 영등포구 영등포동4가,,,,,,
249,1156010600,서울특별시 영등포구 영등포동5가,,,,,,
250,1156010700,서울특별시 영등포구 영등포동6가,,,,,,
251,1156010800,서울특별시 영등포구 영등포동7가,,,,,,
252,1156010900,서울특별시 영등포구 영등포동8가,,,,,,
253,1117010400,서울특별시 용산구 갈월동,,,4.0,1.0,4.0,4.0
254,1117010500,서울특별시 용산구 남영동,,4.0,1.0,4.0,3.0,3.0
255,1117012000,서울특별시 용산구 도원동,4.0,1.0,,,2.0,
256,1117013200,서울특별시 용산구 동빙고동,3.0,,,4.0,1.0,1.0
257,1117010700,서울특별시 용산구 동자동,,4.0,3.0,4.0,4.0,1.0
258,1117012200,서울특별시 용산구 문배동,,,,,,
259,1117013600,서울특별시 용산구 보광동,2.0,4.0,1.0,2.0,3.0,1.0
260,1117011500,서울특별시 용산구 산천동,,,,,,
261,1117010800,서울특별시 용산구 서계동,,1.0,2.0,2.0,4.0,
262,1117013300,서울특별시 용산구 서빙고동,,,,,1.0,
263,1117012300,서울특별시 용산구 신계동,,,3.0,1.0,2.0,2.0
264,1117011400,서울특별시 용산구 신창동,,,,,,
265,1117012100,서울특별시 용산구 용문동,,1.0,1.0,4.0,,
266,1117010600,서울특별시 용산구 용산동1가,,,,,,
267,1117010200,서울특별시 용산구 용산동2가,1.0,4.0,2.0,2.0,3.0,1.0
268,1117012600,서울특별시 용산구 용산동3가,,,,,1.0,
269,1117012700,서울특별시 용산구 용산동5가,,,,,,
270,1117013500,서울특별시 용산구 용산동6가,,,,,,
271,1117011200,서울특별시 용산구 원효로1가,,1.0,1.0,3.0,2.0,4.0
272,1117011300,서울특별시 용산구 원효로2가,,,1.0,4.0,1.0,3.0
273,1117011700,서울특별시 용산구 원효로3가,,4.0,3.0,4.0,2.0,
274,1117011800,서울특별시 용산구 원효로4가,,,,1.0,1.0,
275,1117012900,서울특별시 용산구 이촌동,,,,4.0,4.0,4.0
276,1117013000,서울특별시 용산구 이태원동,1.0,4.0,3.0,3.0,2.0,3.0
277,1117013400,서울특별시 용산구 주성동,,,,,,
278,1117011600,서울특별시 용산구 청암동,,,,1.0,,
279,1117010900,서울특별시 용산구 청파동1가,,,,1.0,4.0,1.0
280,1117011000,서울특별시 용산구 청파동2가,4.0,,,4.0,2.0,2.0
281,1117011100,서울특별시 용산구 청파동3가,1.0,,,4.0,4.0,1.0
282,1117012400,서울특별시 용산구 한강로1가,4.0,1.0,2.0,4.0,1.0,4.0
283,1117012500,서울특별시 용산구 한강로2가,3.0,3.0,1.0,3.0,2.0,2.0
284,1117012800,서울특별시 용산구 한강로3가,2.0,4.0,1.0,4.0,1.0,2.0
285,1117013100,서울특별시 용산구 한남동,3.0,3.0,4.0,3.0,1.0,4.0
286,1117011900,서울특별시 용산구 효창동,,,,2.0,1.0,
287,1117010100,서울특별시 용산구 후암동,2.0,3.0,3.0,1.0,4.0,2.0
288,1138010400,서울특별시 은평구 갈현동,3.0,2.0,3.0,3.0,1.0,4.0
289,1138010500,서울특별시 은평구 구산동,4.0,2.0,3.0,2.0,3.0,1.0
290,1138010200,서울특별시 은평구 녹번동,2.0,3.0,3.0,2.0,1.0,2.0
291,1138010600,서울특별시 은평구 대조동,4.0,2.0,3.0,1.0,4.0,1.0
292,1138010300,서울특별시 은평구 불광동,3.0,1.0,4.0,2.0,2.0,1.0
293,1138010100,서울특별시 은평구 수색동,,4.0,1.0,4.0,3.0,1.0
294,1138010900,서울특별시 은평구 신사동,3.0,2.0,2.0,3.0,2.0,
